ID_Animal;GC;PN_kg;PD_kg;PS_kg;GPD_g-dia;PE_cm;AOL_cm2;EGS_mm;MAR_%;CAR_kg-dia;PREC_SEX;IPP_dias;PROB_3P_%;STAY_%;Fazenda;Estacao;Lote_Manejo;Regime_Alim;Tipo_Pastagem;Localidade_Bloco;Data_Coleta_Pesagem;Piquete;confiabilidade_dados%;itu_media;itu_dp;itu_max;itu_min;itu_leituras_criticas;Sexo;Geracao;Raca;Data_Nascimento
3033;92;2;2;2;2;2;2;3.9;3.2;-0.2;0;-999;36.22;0;1;2;8;1;2;3;20240627;121;114.3;62.87;5.65;76.64;-1.273292858913582;9;1;0;1;20200101
3044;92;3;3;3;3;3;4;4.7;3.7;0.15;0;-999;49.97;0;1;2;8;1;3;1;20240508;118;114.3;68.44;5.56;78.72;-0.0768495265397803;67;1;0;1;20200101
4001;95;1;1;1;1;-999;1;3.5;3.0;0.02;1;1018;29.45;1;1;3;9;1;4;1;20240805;152;114.3;62.09;5.17;71.48;-1.3181838811723061;0;2;0;1;20200101
4022;95;2;1;1;2;-999;1;3.8;3.1;-0.08;0;1063;46.85;1;1;3;9;2;4;1;20240917;153;114.3;61.85;4.97;70.38;-1.2889071275253114;0;2;0;1;20200101
4055;96;1;1;1;1;-999;1;3.4;2.9;0.1;0;942;72.16;0;1;3;10;1;4;2;20240714;155;114.3;61.93;5.02;70.29;-1.6734084920891592;0;2;0;1;20200101
4102;96;2;2;2;2;-999;2;4.0;3.3;-0.15;1;1052;84.79;0;1;3;10;2;3;1;20240809;154;114.3;61.97;5.09;71.2;-1.3025696125605752;0;2;0;1;20200101
4198;97;1;1;1;1;-999;1;3.6;3.2;0.05;0;848;84.17;1;1;3;11;1;2;2;20240718;156;114.3;62.03;5.17;72.63;-1.435290895760279;1;2;0;1;20200101
4210;97;3;3;2;2;-999;2;4.2;3.5;-0.11;1;1017;80.9;1;1;3;11;2;3;2;20240924;157;114.3;64.35;6.78;79.63;-1.3006178289841093;26;2;0;1;20200101
4256;98;2;2;1;2;-999;1;3.9;3.2;0.01;1;1070;59.44;1;1;3;12;2;2;2;20240721;159;114.3;61.98;5.16;70.27;-1.111294822066885;0;2;0;1;20200101
4315;98;1;1;1;1;-999;1;3.6;3.0;-0.04;0;944;58.28;0;1;3;12;1;4;1;20240914;158;114.3;61.9;5.35;71.04;-1.273292858913582;0;2;0;1;20200101
4333;99;2;2;2;2;-999;2;4.1;3.4;0.09;1;935;59.39;0;1;3;13;1;4;2;20240916;161;114.3;61.93;5.06;70.66;-1.4157730599956178;0;2;0;1;20200101
4480;99;1;1;1;1;-999;1;3.3;2.8;-0.25;0;942;41.02;1;1;3;13;1;2;3;20240712;160;114.3;62.09;4.96;71.23;-1.2713410753371162;0;2;0;1;20200101
4481;166;2;2;1;1;1;4;4.28;4.12;0.5;0;-999;45.76;0;1;3;7;1;3;2;20240905;89;114.3;61.9;5.12;70.27;-1.230353620231325;0;1;1;1;20200101
4482;152;2;4;4;3;1;3;4.49;3.83;0.67;0;-999;28.12;0;1;4;6;2;3;2;20241102;52;114.3;71.99;5.65;83.02;0.3681571288945198;100;1;1;1;20200101
4484;139;3;1;3;4;2;4;3.74;3.59;0.1;0;-999;76.52;0;1;4;8;1;3;2;20241118;127;114.3;72.05;5.62;81.82;0.4598909569884339;99;1;1;1;20200101
4485;184;3;1;2;3;1;1;3.77;3.66;-0.18;0;-999;54.03;0;3;2;6;1;3;4;20240605;72;114.3;68.4;5.71;77.89;-0.17834227251602505;70;1;1;1;20200101
4487;128;1;3;2;2;1;1;3.82;2.82;0.23;0;-999;72.3;0;3;3;6;1;4;4;20240807;72;114.3;61.98;5.13;70.01;-1.5582532610776523;0;1;1;1;20200101
4488;165;4;2;3;3;3;2;4.02;4.4;-0.05;0;-999;77.19;0;1;4;6;1;3;2;20241121;55;114.3;71.91;5.48;81.23;0.4403731212237713;97;1;1;1;20200101
4489;122;4;1;2;3;1;1;4.19;4.0;0.39;0;-999;57.44;0;1;1;7;1;2;3;20240115;84;114.3;77.61;5.67;90.21;1.4299273944921504;146;1;1;1;20200101
4490;132;3;3;3;3;2;2;4.43;2.9;-0.05;0;-999;60.14;0;1;2;7;1;3;1;20240503;80;114.3;68.37;5.51;78.3;-0.34229209293918933;65;1;1;1;20200101
4491;173;4;3;4;4;1;1;4.56;4.06;0.12;0;-999;67.98;0;2;4;1;4;1;5;20241224;15;114.3;74.72;6.26;87.17;0.6823942847055833;128;1;1;1;20200101
4492;107;3;3;3;3;2;2;3.79;3.25;-0.48;0;-999;28.27;0;2;2;7;2;3;6;20240402;101;114.3;68.47;5.52;77.71;-0.24470291411587766;73;1;1;1;20200101
4493;195;2;4;4;3;2;2;2.36;3.23;0.4;0;-999;55.91;0;1;3;7;2;4;3;20240813;87;114.3;61.99;5.09;71.77;-1.1308126578315476;0;1;1;1;20200101
4494;177;1;2;3;3;2;3;3.5;3.23;0.19;0;-999;72.61;0;1;4;6;2;4;3;20241220;49;114.3;71.91;5.52;82.12;0.4579391734119667;99;1;1;1;20200101
4495;183;1;3;1;1;3;4;4.19;4.19;-0.37;0;-999;84.04;0;2;1;8;1;2;7;20240302;134;114.3;77.6;5.81;86.76;1.6758521251268967;145;1;1;1;20200101
4496;161;1;1;3;4;1;2;4.53;3.97;-0.27;0;-999;61.82;0;3;4;1;4;1;8;20241007;28;114.3;71.94;5.71;82.74;0.0968592117657132;100;1;1;1;20200101
4497;136;2;1;3;4;1;4;3.75;4.01;-0.34;0;-999;58.77;0;2;3;8;1;2;5;20240924;130;114.3;64.4;6.84;81.23;-1.267437508184183;26;1;1;1;20200101
4499;106;2;1;1;2;1;4;4.27;3.68;0.08;0;-999;52.36;0;1;2;6;1;4;1;20240416;46;114.3;68.35;5.66;79.09;-0.3793759808920473;71;1;1;1;20200101
4500;188;1;2;2;2;1;1;3.95;3.67;-0.51;0;-999;38.86;0;3;2;7;1;3;8;20240428;105;114.3;68.61;5.73;78.41;-0.1607762203278283;75;1;1;1;20200101
4501;172;4;3;4;4;3;1;4.06;4.18;0.2;0;-999;69.64;0;2;2;1;4;1;7;20240510;18;114.3;68.44;5.29;77.68;-0.04757277289278708;67;1;1;1;20200101
4502;104;3;4;4;3;4;4;3.21;3.56;-0.38;0;-999;66.39;0;2;4;6;1;4;5;20241007;58;114.3;72.07;5.65;81.87;0.23543584569481596;98;1;1;1;20200101
4504;147;2;3;3;3;1;4;4.31;4.1;-0.45;0;-999;35.17;0;1;3;8;2;3;3;20240724;120;114.3;61.79;5.11;70.73;-1.3552677691251642;0;1;1;1;20200101
4505;186;1;2;2;2;2;1;3.96;3.43;-0.15;0;-999;57.39;0;3;4;6;1;2;9;20241108;78;114.3;71.88;5.35;82.24;0.6843460682820505;96;1;1;1;20200101
4506;199;1;1;2;3;2;1;3.26;3.27;0.13;0;-999;50.04;0;3;4;7;1;3;4;20241220;108;114.3;72.08;5.58;82.4;0.4481802555296361;103;1;1;1;20200101
4507;102;4;3;3;3;1;4;4.16;3.27;0.12;0;-999;77.15;0;1;3;1;4;1;1;20240907;1;114.3;61.87;5.28;70.97;-1.1991250830078646;0;1;1;1;20200101
4508;114;1;3;3;2;2;1;4.55;3.27;0.29;0;-999;68.62;0;3;1;8;1;4;9;20240208;151;114.3;77.69;5.65;88.75;1.53922727477426;152;1;1;1;20200101
4509;161;4;1;3;4;2;2;4.64;2.87;0.16;0;-999;70.46;0;2;4;7;1;2;7;20241211;97;114.3;71.8;5.65;81.21;0.282278651530006;97;1;1;1;20200101
4510;119;2;1;1;2;4;2;4.35;2.92;-0.22;0;-999;34.99;0;1;2;7;1;3;2;20240513;88;114.3;68.49;5.42;77.59;-0.12564411595143615;68;1;1;1;20200101
4511;172;2;4;4;4;2;3;3.83;3.78;0.23;0;-999;72.38;0;1;3;8;1;3;1;20240818;118;114.3;61.85;5.19;70.46;-1.1796072472432033;0;1;1;1;20200101
4512;181;2;2;1;1;2;3;5.05;4.29;-0.01;0;-999;57.89;0;3;4;6;2;4;4;20241212;72;114.3;71.96;5.56;81.76;0.4345177704943724;99;1;1;1;20200101
4513;106;2;2;4;4;3;4;4.1;3.69;-0.18;0;-999;28.53;0;1;1;7;2;4;1;20240209;80;114.3;77.9;5.8;88.18;1.3889399393863606;151;1;1;1;20200101
4515;183;2;1;1;1;1;2;2.84;3.29;-0.07;0;-999;24.46;0;3;1;1;4;1;4;20240215;31;114.3;77.5;5.91;87.51;1.2854954098336502;145;1;1;1;20200101
4516;168;1;1;2;2;1;1;4.14;3.99;-0.35;0;-999;80.29;0;3;4;7;2;4;9;20241026;113;114.3;71.97;5.75;81.59;0.34668750955339134;99;1;1;1;20200101
4517;174;3;4;1;1;3;3;4.3;3.11;0.0;0;-999;61.42;0;2;1;6;2;2;6;20240316;67;114.3;77.59;5.77;88.2;1.2640257904925216;144;1;1;1;20200101
4518;142;2;4;1;1;3;2;4.11;4.24;-0.08;0;-999;84.29;0;2;4;7;1;3;7;20241107;96;114.3;71.76;5.64;81.97;0.407192800423845;96;1;1;1;20200101
4519;163;2;3;4;3;1;1;3.72;3.0;-0.41;0;-999;36.89;0;3;1;8;2;4;9;20240211;151;114.3;77.89;5.68;88.75;1.390891722962828;157;1;1;1;20200101
4520;134;2;1;3;3;1;1;5.46;3.79;-0.64;0;-999;28.83;0;3;4;8;1;2;8;20241102;140;114.3;71.99;5.41;81.56;0.4774570091766293;103;1;1;1;20200101
4521;134;4;1;1;1;4;1;4.93;2.9;0.11;0;-999;60.4;0;1;3;7;1;2;2;20240928;91;114.3;69.29;7.07;81.03;-1.185462597972601;75;1;1;1;20200101
4522;174;4;1;4;4;1;1;4.24;2.95;0.21;0;-999;65.39;0;1;1;6;1;2;1;20240124;47;114.3;77.47;5.65;87.75;1.570455811997719;146;1;1;1;20200101
4523;192;1;2;3;3;1;4;4.72;2.99;0.29;0;-999;56.13;0;3;2;6;1;4;8;20240401;71;114.3;68.42;5.62;78.95;-0.221281511198282;65;1;1;1;20200101
4524;164;2;2;3;3;2;2;3.67;3.77;-0.1;0;-999;27.42;0;1;4;6;1;4;2;20241118;55;114.3;71.91;5.43;81.23;0.5633354865411432;97;1;1;1;20200101
4526;163;2;4;3;2;2;3;4.83;4.37;-0.21;0;-999;40.59;0;2;4;6;2;3;7;20241214;62;114.3;71.84;5.57;81.15;0.5008784120942236;98;1;1;1;20200101
4527;189;1;2;4;4;2;3;3.24;3.18;-0.23;0;-999;73.34;0;1;4;7;1;4;1;20241105;80;114.3;71.87;5.55;82.8;0.5535765686588126;99;1;1;1;20200101
4528;134;2;1;1;1;3;1;5.63;3.89;-0.78;0;-999;57.68;0;3;2;7;1;2;8;20240411;106;114.3;68.44;5.46;78.64;-0.1510173024454977;68;1;1;1;20200101
4529;181;1;3;3;3;2;4;3.77;2.57;0.24;0;-999;37.32;0;1;1;6;1;2;1;20240113;46;114.3;77.51;5.86;88.58;1.5060469539743335;148;1;1;1;20200101
4530;141;2;1;1;1;1;4;3.75;3.27;0.46;0;-999;55.85;0;3;2;7;1;2;4;20240627;110;114.3;62.64;5.46;76.04;-1.4899408359013337;9;1;1;1;20200101
4531;123;2;3;4;4;3;3;4.94;3.71;0.0;0;-999;52.19;0;1;3;7;2;3;3;20240716;86;114.3;61.97;4.93;70.82;-1.158137627902075;0;1;1;1;20200101
4532;137;1;3;4;4;1;3;5.02;3.21;0.08;0;-999;51.51;0;1;4;1;4;1;3;20241221;8;114.3;72.6;5.96;87.73;0.4735534420236976;107;1;1;1;20200101
4533;193;3;4;3;3;3;2;4.87;4.23;-0.37;0;-999;45.65;0;2;1;8;1;2;6;20240311;136;114.3;77.52;5.62;87.47;1.1996169324691364;148;1;1;1;20200101
4534;117;3;4;4;4;3;2;3.7;4.19;-0.29;0;-999;50.35;0;1;2;7;2;3;3;20240525;84;114.3;68.31;5.63;78.88;-0.08075309369271338;63;1;1;1;20200101
4535;187;4;4;1;1;2;3;3.95;3.89;-0.84;0;-999;46.37;0;1;2;7;2;3;1;20240524;81;114.3;68.49;5.74;79.95;-0.08660844442211231;71;1;1;1;20200101
4537;168;4;1;2;2;3;4;4.41;3.92;0.18;0;-999;55.95;0;2;3;7;1;2;7;20240815;98;114.3;62.0;5.12;70.42;-1.2088840008901967;0;1;1;1;20200101
4539;112;2;4;4;4;1;2;2.9;3.47;-0.16;0;-999;58.47;0;1;1;8;2;4;2;20240206;126;114.3;77.39;5.78;87.34;1.289398976986582;142;1;1;1;20200101
4540;146;1;1;2;2;1;3;3.06;3.6;0.35;0;-999;56.96;0;3;3;6;2;2;4;20240724;73;114.3;61.98;5.05;70.84;-1.2889071275253114;0;1;1;1;20200101
4541;119;1;3;1;1;4;2;3.3;3.62;-0.42;0;-999;52.74;0;1;3;7;2;3;2;20240916;88;114.3;61.92;5.1;70.48;-1.2225464859254602;0;1;1;1;20200101
4542;178;1;2;1;1;3;1;4.78;3.98;-0.11;0;-999;36.68;0;1;3;7;1;3;2;20240718;90;114.3;61.74;5.3;69.94;-1.6753602756656265;0;1;1;1;20200101
4543;148;2;2;3;3;1;4;3.63;4.62;-0.74;0;-999;33.64;0;1;3;1;4;1;2;20240902;11;114.3;62.03;5.02;70.56;-1.193269732278467;0;1;1;1;20200101
4544;178;4;2;1;1;1;1;4.24;4.02;-0.37;0;-999;71.13;0;3;4;8;1;3;8;20241202;140;114.3;71.85;5.55;81.11;0.4852641434824941;98;1;1;1;20200101
4545;196;3;1;2;3;3;3;4.66;3.89;-0.07;0;-999;30.03;0;3;4;1;4;1;9;20241027;33;114.3;71.74;5.53;80.9;0.5633354865411432;96;1;1;1;20200101
4546;114;2;2;2;3;4;2;4.53;3.09;-0.05;0;-999;38.71;0;1;2;1;4;1;2;20240602;12;114.3;68.44;5.6;77.91;-0.2603171827276072;70;1;1;1;20200101
4547;147;4;1;4;4;2;3;5.54;2.88;-0.08;0;-999;58.43;0;2;3;6;1;3;5;20240714;57;114.3;61.94;5.27;71.51;-1.6519388727480309;0;1;1;1;20200101
4548;105;4;4;4;4;3;1;5.94;2.72;-0.45;0;-999;26.66;0;2;2;7;2;3;6;20240427;103;114.3;68.71;5.61;77.78;-0.08660844442211231;66;1;1;1;20200101
4549;192;4;1;3;4;2;4;5.19;4.42;-0.21;0;-999;58.9;0;1;1;8;1;4;2;20240308;125;114.3;77.92;5.6;86.96;1.4923844689390713;156;1;1;1;20200101
4550;127;2;3;4;4;2;1;5.37;3.11;-0.08;0;-999;59.72;0;1;1;1;4;1;1;20240123;1;114.3;77.69;5.74;89.03;1.4065059915745575;146;1;1;1;20200101
4551;165;4;4;4;3;4;4;5.16;4.41;0.4;0;-999;62.89;0;2;4;1;4;1;5;20241001;14;114.3;71.79;5.52;81.27;0.007077167248267682;95;1;1;1;20200101
4553;193;1;1;4;4;1;4;4.46;2.7;0.08;0;-999;66.21;0;1;4;7;1;4;3;20241112;85;114.3;71.63;5.74;81.55;0.22177336065955228;100;1;1;1;20200101
4555;137;2;2;2;2;2;3;4.23;4.09;-0.04;0;-999;45.71;0;1;4;1;4;1;2;20241222;12;114.3;73.29;6.19;87.3;0.286182218682939;113;1;1;1;20200101
4556;156;1;3;3;3;1;2;3.94;3.65;-0.28;0;-999;29.97;0;3;3;8;1;3;9;20240916;148;114.3;61.99;5.13;71.75;-1.2030286501607976;0;1;1;1;20200101
4557;109;3;3;1;1;2;2;4.02;3.84;-0.1;0;-999;72.7;0;3;4;1;4;1;9;20241216;36;114.3;72.04;5.61;81.49;0.14175023402443734;101;1;1;1;20200101
4559;143;1;4;2;1;3;4;4.67;3.75;-0.54;0;-999;20.81;0;2;2;6;1;3;6;20240618;66;114.3;68.53;5.58;78.64;-0.3169189064451278;67;1;1;1;20200101
4560;191;1;1;1;2;2;1;4.43;2.94;-0.64;0;-999;60.7;0;3;2;8;2;2;4;20240501;145;114.3;68.6;5.55;78.78;-0.010488884939929086;66;1;1;1;20200101
4561;121;3;4;4;2;3;3;6.07;4.27;0.65;0;-999;49.64;0;2;3;8;1;3;5;20240717;128;114.3;61.86;5.04;70.56;-1.7202512979243494;0;1;1;1;20200101
4562;182;2;1;4;4;4;4;4.26;4.01;-0.37;0;-999;57.42;0;2;4;7;1;2;5;20241209;94;114.3;71.91;5.78;81.84;0.3505910767063244;100;1;1;1;20200101
4563;109;2;2;4;4;2;1;4.0;3.52;-0.45;0;-999;33.59;0;1;3;8;2;3;1;20240910;117;114.3;62.11;4.99;71.71;-1.3025696125605752;0;1;1;1;20200101
4566;193;2;4;3;2;2;2;4.69;3.96;0.15;0;-999;50.95;0;1;2;8;2;3;3;20240526;122;114.3;68.42;5.59;78.95;-0.3013046378333983;67;1;1;1;20200101
4567;170;1;3;2;2;3;1;4.83;3.15;0.09;0;-999;28.32;0;3;3;7;1;2;8;20240704;106;114.3;62.02;4.99;72.98;-1.1952215158549329;1;1;1;1;20200101
4568;184;1;1;4;4;1;2;3.9;2.35;-0.16;0;-999;82.82;0;3;3;8;1;4;8;20240717;140;114.3;61.98;5.19;71.15;-1.4665194329837394;0;1;1;1;20200101
4569;175;2;1;1;2;2;1;5.04;3.09;0.07;0;-999;25.95;0;3;3;7;1;3;9;20240708;113;114.3;62.04;5.09;71.03;-1.226450053078392;0;1;1;1;20200101
4570;198;3;1;4;4;3;4;4.55;2.9;0.01;0;-999;66.83;0;1;3;1;4;1;2;20240720;9;114.3;61.99;5.14;71.47;-1.519217589548327;0;1;1;1;20200101
4571;102;3;4;4;4;2;4;5.19;2.72;-0.01;0;-999;49.42;0;1;3;6;1;3;3;20240909;48;114.3;62.02;5.13;70.6;-1.4762783508660702;0;1;1;1;20200101
4573;162;1;3;4;4;1;1;4.87;3.39;-0.15;0;-999;65.09;0;1;1;7;1;2;2;20240203;88;114.3;77.38;5.78;86.81;1.2854954098336502;145;1;1;1;20200101
4574;156;3;1;4;4;4;2;4.81;3.97;-0.47;0;-999;53.59;0;2;2;1;4;1;7;20240513;17;114.3;68.44;5.59;79.69;-0.32277425717452674;65;1;1;1;20200101
4575;158;2;1;3;4;3;1;4.38;3.91;-0.11;0;-999;59.89;0;3;2;8;1;2;4;20240519;147;114.3;68.49;5.6;77.59;-0.09831914588091015;67;1;1;1;20200101
4576;121;4;4;2;1;2;2;5.77;3.87;-0.06;0;-999;72.45;0;2;1;6;1;4;6;20240123;67;114.3;77.58;5.77;87.44;1.3011096784453797;150;1;1;1;20200101
4577;100;1;3;4;4;4;3;5.16;4.28;-0.58;0;-999;66.5;0;1;3;6;1;2;3;20240710;48;114.3;61.99;4.99;70.64;-1.279148209642981;0;1;1;1;20200101
4578;128;4;2;1;1;3;4;4.58;4.52;0.1;0;-999;28.84;0;2;1;6;2;2;5;20240327;59;114.3;69.74;6.44;86.77;-0.26617253345700614;83;1;1;1;20200101
4579;104;2;3;3;3;2;1;4.87;3.9;-0.5;0;-999;68.87;0;1;2;1;4;1;3;20240421;7;114.3;68.51;5.58;78.2;-0.5218561819740818;69;1;1;1;20200101
4580;152;4;4;3;3;4;2;5.11;4.64;-0.33;0;-999;37.27;0;2;3;1;4;1;5;20240925;14;114.3;65.63;7.05;80.75;-1.0722591505375596;37;1;1;1;20200101
4581;100;3;2;2;2;3;4;4.75;3.98;-0.01;0;-999;27.72;0;3;2;8;1;3;8;20240403;143;114.3;68.66;5.59;78.1;0.012932517977665217;71;1;1;1;20200101
4582;179;3;4;1;1;1;4;4.01;3.31;0.22;0;-999;62.11;0;1;3;1;4;1;2;20240813;9;114.3;61.9;5.17;70.13;-1.4021105749603542;0;1;1;1;20200101
4583;105;2;3;4;4;4;2;3.73;3.74;0.17;0;-999;54.33;0;2;2;1;4;1;6;20240518;21;114.3;68.49;5.52;78.73;-0.02219958639872693;65;1;1;1;20200101
4584;137;3;3;1;1;3;4;3.85;4.03;0.33;0;-999;64.19;0;2;1;7;1;3;6;20240202;100;114.3;77.69;5.73;87.65;1.4865291182096725;147;1;1;1;20200101
4585;144;1;3;1;1;2;1;4.07;3.43;0.01;0;-999;37.46;0;3;3;7;2;3;4;20240901;108;114.3;62.0;4.96;69.78;-1.3786891720427585;0;1;1;1;20200101
4588;167;4;4;4;4;3;2;5.1;3.93;0.01;0;-999;26.13;0;2;1;1;4;1;7;20240221;17;114.3;77.67;5.67;87.69;1.3772292379275628;150;1;1;1;20200101
4589;109;2;3;3;3;3;4;3.44;3.86;0.23;0;-999;72.08;0;2;1;6;1;3;6;20240219;64;114.3;77.71;5.67;87.34;1.172291962398609;148;1;1;1;20200101
4590;136;3;2;1;1;2;2;4.44;2.96;-0.02;0;-999;50.4;0;3;1;8;1;3;4;20240117;147;114.3;77.75;5.67;87.6;1.578262946303585;148;1;1;1;20200101
4591;103;2;2;3;3;2;3;4.89;3.92;0.3;0;-999;27.84;0;1;4;1;4;1;3;20241008;6;114.3;72.01;5.4;81.08;0.5652872701176104;103;1;1;1;20200101
4592;134;4;4;2;1;3;4;4.58;2.56;-0.31;0;-999;54.6;0;2;4;1;4;1;5;20241028;13;114.3;72.06;5.64;81.67;0.7136228219290437;96;1;1;1;20200101
4593;171;4;3;4;4;3;2;4.74;3.87;0.13;0;-999;21.69;0;2;4;8;1;3;5;20241219;131;114.3;71.87;5.59;80.81;0.5711426208470093;98;1;1;1;20200101
4595;159;2;4;4;4;2;2;3.38;3.81;-0.2;0;-999;20.61;0;1;3;8;2;4;3;20240703;120;114.3;62.03;5.07;70.27;-1.2693892917606502;0;1;1;1;20200101
4596;190;1;3;2;2;2;2;3.42;2.73;-0.37;0;-999;40.95;0;3;2;8;1;4;8;20240609;143;114.3;68.42;5.72;78.48;-0.14125838456316706;71;1;1;1;20200101
4598;108;3;1;1;1;2;4;4.86;3.58;-0.04;0;-999;60.83;0;1;2;7;2;4;1;20240602;81;114.3;68.46;5.68;77.33;-0.12564411595143615;70;1;1;1;20200101
4599;177;4;3;2;2;1;3;3.5;2.49;-0.21;0;-999;61.1;0;2;2;1;4;1;5;20240428;13;114.3;68.56;5.5;77.44;-0.11393341449263969;72;1;1;1;20200101
4600;132;2;1;1;1;2;4;2.91;3.33;0.11;0;-999;72.69;0;3;1;1;4;1;9;20240201;33;114.3;77.51;5.63;89.04;1.3635667528923006;147;1;1;1;20200101
4602;154;3;3;2;2;1;2;3.68;3.46;-0.6;0;-999;26.51;0;1;3;8;1;4;2;20240725;124;114.3;61.93;4.98;70.23;-1.5036033209365975;0;1;1;1;20200101
4604;174;1;1;3;4;2;2;4.6;3.14;-0.51;0;-999;61.0;0;1;1;6;2;3;2;20240203;53;114.3;77.68;5.62;87.85;1.5294683568919294;148;1;1;1;20200101
4605;152;2;2;1;1;3;1;4.87;3.6;-0.22;0;-999;75.64;0;1;2;8;1;4;1;20240506;116;114.3;68.36;5.37;77.14;-0.46330267468009534;64;1;1;1;20200101
4606;141;3;4;3;2;2;4;3.33;3.54;0.1;0;-999;22.03;0;2;3;7;2;2;7;20240908;97;114.3;62.05;5.01;71.27;-1.2635339410312514;0;1;1;1;20200101
4607;164;2;2;4;4;3;4;4.55;3.65;-0.53;0;-999;84.33;0;1;3;6;2;4;3;20240927;49;114.3;68.17;7.21;81.38;-1.2049804337372636;60;1;1;1;20200101
4609;102;1;1;2;4;3;1;5.47;3.81;-0.06;0;-999;67.39;0;1;1;1;4;1;3;20240311;5;114.3;77.44;5.79;87.02;1.1508223430574804;151;1;1;1;20200101
4610;108;3;2;1;1;1;1;3.77;3.69;-0.33;0;-999;54.98;0;3;1;7;1;4;9;20240225;114;114.3;77.68;5.44;87.83;1.2386526039984616;152;1;1;1;20200101
4611;112;2;4;4;3;4;1;4.28;3.2;-0.71;0;-999;63.61;0;1;4;1;4;1;3;20241205;6;114.3;72.12;5.54;81.69;0.15931628621263275;95;1;1;1;20200101
4612;154;2;3;4;4;3;3;4.96;3.89;-0.48;0;-999;62.01;0;2;4;6;1;3;6;20241224;66;114.3;74.76;6.16;86.66;0.6023711580704684;120;1;1;1;20200101
4613;146;1;1;2;3;2;1;4.16;2.71;0.26;0;-999;68.3;0;3;3;6;1;4;8;20240717;68;114.3;62.17;5.13;70.53;-1.261582157454784;0;1;1;1;20200101
4614;190;2;2;1;1;3;2;3.54;2.92;-0.2;0;-999;45.83;0;1;3;8;1;2;2;20240912;127;114.3;62.06;5.06;70.31;-1.4021105749603542;0;1;1;1;20200101
4615;189;1;2;1;1;2;1;3.1;3.23;-0.12;0;-999;59.92;0;3;2;6;2;3;9;20240404;77;114.3;68.39;5.41;77.01;-0.12759589952790337;62;1;1;1;20200101
4617;191;2;4;1;1;4;3;3.98;3.72;-0.34;0;-999;25.95;0;1;2;1;4;1;2;20240411;12;114.3;68.4;5.57;77.72;-0.33253317505685737;66;1;1;1;20200101
