ID_Animal;GC;PN_kg;PD_kg;PS_kg;GPD_g-dia;PE_cm;AOL_cm2;EGS_mm;MAR_%;CAR_kg-dia;PREC_SEX;IPP_dias;PROB_3P_%;STAY_%;Sexo;Geracao;Raca;Data_Nascimento
3008;90.0;34.2;210.5;445.8;682.0289855072465;38.2;85.4;4.2;3.5;-0.05;0.0;;28.91;0.0;M;0;Nelore;2020-01-01
3012;91.0;35.8;215.3;458.0;703.4782608695652;39.0;88.6;4.5;3.6;-0.1;0.0;;32.83;0.0;M;0;Nelore;2020-01-01
3021;91.0;38.4;235.6;495.2;752.4637681159421;42.1;97.2;5.8;4.2;0.05;0.0;;22.88;0.0;M;0;Nelore;2020-01-01
3033;92.0;33.5;205.2;430.5;653.0434782608696;37.5;82.3;3.9;3.2;-0.2;0.0;;36.22;0.0;M;0;Nelore;2020-01-01
3044;92.0;36.1;218.4;462.7;708.1159420289854;39.5;89.8;4.7;3.7;0.15;0.0;;49.97;0.0;M;0;Nelore;2020-01-01
4001;95.0;32.1;195.4;390.2;564.6376811594203;;75.2;3.5;3.0;0.02;1.0;1018.0;29.45;1.0;F;0;Nelore;2020-01-01
4022;95.0;33.4;200.2;405.5;595.072463768116;;78.5;3.8;3.1;-0.08;0.0;1063.0;46.85;1.0;F;0;Nelore;2020-01-01
4055;96.0;31.8;192.8;385.1;557.3913043478261;;74.1;3.4;2.9;0.1;0.0;942.0;72.16;0.0;F;0;Nelore;2020-01-01
4102;96.0;34.5;208.5;415.8;600.8695652173914;;81.4;4.0;3.3;-0.15;1.0;1052.0;84.79;0.0;F;0;Nelore;2020-01-01
4198;97.0;32.9;198.6;398.2;578.5507246376811;;76.8;3.6;3.2;0.05;0.0;848.0;84.17;1.0;F;0;Nelore;2020-01-01
4210;97.0;35.2;212.4;425.6;617.9710144927537;;84.5;4.2;3.5;-0.11;1.0;1017.0;80.9;1.0;F;0;Nelore;2020-01-01
4256;98.0;33.8;202.1;410.4;603.768115942029;;79.2;3.9;3.2;0.01;1.0;1070.0;59.44;1.0;F;0;Nelore;2020-01-01
4315;98.0;32.5;196.7;392.5;567.536231884058;;75.9;3.6;3.0;-0.04;0.0;944.0;58.28;0.0;F;0;Nelore;2020-01-01
4333;99.0;34.0;205.8;418.2;615.6521739130434;;82.1;4.1;3.4;0.09;1.0;935.0;59.39;0.0;F;0;Nelore;2020-01-01
4480;99.0;31.5;190.2;380.4;551.304347826087;;73.5;3.3;2.8;-0.25;0.0;942.0;41.02;1.0;F;0;Nelore;2020-01-01
4481;166.0;34.0;211.0;398.0;542.0289855072464;37.0;93.18;4.28;4.12;0.5;0.0;;45.76;0.0;M;1;Nelore;2020-01-01
4482;152.0;35.0;229.0;483.0;736.231884057971;37.0;89.36;4.49;3.83;0.67;0.0;;28.12;0.0;M;1;Nelore;2020-01-01
4483;111.0;37.0;215.0;454.0;692.7536231884059;38.0;97.96;4.53;2.87;0.16;0.0;;59.88;0.0;M;1;Nelore;2020-01-01
4484;139.0;37.0;178.0;447.0;779.7101449275362;39.0;94.71;3.74;3.59;0.1;0.0;;76.52;0.0;M;1;Nelore;2020-01-01
4485;184.0;36.0;190.0;440.0;724.6376811594203;36.0;79.26;3.77;3.66;-0.18;0.0;;54.03;0.0;M;1;Nelore;2020-01-01
4486;109.0;33.0;207.0;421.0;620.2898550724639;38.0;86.42;3.72;2.59;-0.36;0.0;;41.76;0.0;M;1;Nelore;2020-01-01
4487;128.0;31.0;218.0;429.0;611.5942028985507;36.0;74.15;3.82;2.82;0.23;0.0;;72.3;0.0;M;1;Nelore;2020-01-01
4488;165.0;39.0;204.0;441.0;686.9565217391305;41.0;84.14;4.02;4.4;-0.05;0.0;;77.19;0.0;M;1;Nelore;2020-01-01
4489;122.0;38.0;199.0;438.0;692.7536231884059;37.0;77.41;4.19;4.0;0.39;0.0;;57.44;0.0;M;1;Nelore;2020-01-01
4490;132.0;36.0;221.0;455.0;678.2608695652174;39.0;80.19;4.43;2.9;-0.05;0.0;;60.14;0.0;M;1;Nelore;2020-01-01
4491;173.0;40.0;215.0;491.0;800.0;36.0;79.17;4.56;4.06;0.12;0.0;;67.98;0.0;M;1;Nelore;2020-01-01
4492;107.0;36.0;217.0;456.0;692.7536231884059;38.0;80.39;3.79;3.25;-0.48;0.0;;28.27;0.0;M;1;Nelore;2020-01-01
4493;195.0;35.0;234.0;483.0;721.7391304347826;39.0;81.79;2.36;3.23;0.4;0.0;;55.91;0.0;M;1;Nelore;2020-01-01
4494;177.0;33.0;204.0;456.0;730.4347826086956;39.0;87.47;3.5;3.23;0.19;0.0;;72.61;0.0;M;1;Nelore;2020-01-01
4495;183.0;33.0;212.0;383.0;495.6521739130435;40.0;101.8;4.19;4.19;-0.37;0.0;;84.04;0.0;M;1;Nelore;2020-01-01
4496;161.0;32.0;200.0;462.0;759.4202898550725;37.0;81.17;4.53;3.97;-0.27;0.0;;61.82;0.0;M;1;Nelore;2020-01-01
4497;136.0;35.0;188.0;448.0;753.6231884057971;36.0;94.35;3.75;4.01;-0.34;0.0;;58.77;0.0;M;1;Nelore;2020-01-01
4498;114.0;37.0;217.0;447.0;666.6666666666666;36.0;86.97;2.53;2.73;-0.39;0.0;;24.84;0.0;M;1;Nelore;2020-01-01
4499;106.0;34.0;184.0;399.0;623.1884057971015;35.0;92.4;4.27;3.68;0.08;0.0;;52.36;0.0;M;1;Nelore;2020-01-01
4500;188.0;31.0;206.0;417.0;611.5942028985507;36.0;77.41;3.95;3.67;-0.51;0.0;;38.86;0.0;M;1;Nelore;2020-01-01
4501;172.0;41.0;215.0;524.0;895.6521739130435;40.0;74.87;4.06;4.18;0.2;0.0;;69.64;0.0;M;1;Nelore;2020-01-01
4502;104.0;36.0;241.0;486.0;710.1449275362319;43.0;93.42;3.21;3.56;-0.38;0.0;;66.39;0.0;M;1;Nelore;2020-01-01
4503;184.0;37.0;210.0;431.0;640.5797101449275;39.0;79.03;3.79;3.94;0.73;0.0;;32.05;0.0;M;1;Nelore;2020-01-01
4504;147.0;35.0;213.0;454.0;698.5507246376812;37.0;92.44;4.31;4.1;-0.45;0.0;;35.17;0.0;M;1;Nelore;2020-01-01
4505;186.0;31.0;211.0;427.0;626.0869565217391;39.0;78.56;3.96;3.43;-0.15;0.0;;57.39;0.0;M;1;Nelore;2020-01-01
4506;199.0;33.0;196.0;440.0;707.2463768115942;39.0;75.38;3.26;3.27;0.13;0.0;;50.04;0.0;M;1;Nelore;2020-01-01
4507;102.0;38.0;220.0;451.0;669.5652173913044;35.0;89.74;4.16;3.27;0.12;0.0;;77.15;0.0;M;1;Nelore;2020-01-01
4508;114.0;32.0;215.0;441.0;655.0724637681159;38.0;76.59;4.55;3.27;0.29;0.0;;68.62;0.0;M;1;Nelore;2020-01-01
4509;161.0;39.0;190.0;463.0;791.304347826087;39.0;83.8;4.64;2.87;0.16;0.0;;70.46;0.0;M;1;Nelore;2020-01-01
4510;119.0;35.0;182.0;406.0;649.2753623188405;42.0;82.03;4.35;2.92;-0.22;0.0;;34.99;0.0;M;1;Nelore;2020-01-01
4511;172.0;35.0;226.0;481.0;739.1304347826086;39.0;86.18;3.83;3.78;0.23;0.0;;72.38;0.0;M;1;Nelore;2020-01-01
4512;181.0;35.0;209.0;364.0;449.27536231884056;38.0;86.67;5.05;4.29;-0.01;0.0;;57.89;0.0;M;1;Nelore;2020-01-01
4513;106.0;35.0;204.0;491.0;831.8840579710145;41.0;94.03;4.1;3.69;-0.18;0.0;;28.53;0.0;M;1;Nelore;2020-01-01
4514;140.0;34.0;183.0;360.0;513.0434782608696;36.0;76.51;5.59;3.37;-0.15;0.0;;55.6;0.0;M;1;Nelore;2020-01-01
4515;183.0;35.0;192.0;357.0;478.26086956521743;33.0;79.86;2.84;3.29;-0.07;0.0;;24.46;0.0;M;1;Nelore;2020-01-01
4516;168.0;31.0;199.0;414.0;623.1884057971015;33.0;78.94;4.14;3.99;-0.35;0.0;;80.29;0.0;M;1;Nelore;2020-01-01
4517;174.0;37.0;230.0;370.0;405.7971014492754;41.0;86.34;4.3;3.11;0.0;0.0;;61.42;0.0;M;1;Nelore;2020-01-01
4518;142.0;35.0;225.0;399.0;504.3478260869565;41.0;81.45;4.11;4.24;-0.08;0.0;;84.29;0.0;M;1;Nelore;2020-01-01
4519;163.0;35.0;216.0;467.0;727.5362318840579;35.0;74.74;3.72;3.0;-0.41;0.0;;36.89;0.0;M;1;Nelore;2020-01-01
4520;134.0;35.0;195.0;442.0;715.9420289855072;37.0;77.7;5.46;3.79;-0.64;0.0;;28.83;0.0;M;1;Nelore;2020-01-01
4521;134.0;39.0;200.0;402.0;585.5072463768116;45.0;75.71;4.93;2.9;0.11;0.0;;60.4;0.0;M;1;Nelore;2020-01-01
4522;174.0;39.0;201.0;470.0;779.7101449275362;37.0;70.02;4.24;2.95;0.21;0.0;;65.39;0.0;M;1;Nelore;2020-01-01
4523;192.0;33.0;210.0;450.0;695.6521739130435;36.0;89.59;4.72;2.99;0.29;0.0;;56.13;0.0;M;1;Nelore;2020-01-01
4524;164.0;34.0;209.0;446.0;686.9565217391305;39.0;80.98;3.67;3.77;-0.1;0.0;;27.42;0.0;M;1;Nelore;2020-01-01
4525;129.0;41.0;221.0;467.0;713.0434782608695;39.0;76.99;5.57;3.67;0.05;0.0;;37.72;0.0;M;1;Nelore;2020-01-01
4526;163.0;35.0;230.0;457.0;657.9710144927536;39.0;88.88;4.83;4.37;-0.21;0.0;;40.59;0.0;M;1;Nelore;2020-01-01
4527;189.0;32.0;205.0;466.0;756.5217391304348;39.0;86.14;3.24;3.18;-0.23;0.0;;73.34;0.0;M;1;Nelore;2020-01-01
4528;134.0;35.0;196.0;390.0;562.3188405797101;40.0;74.41;5.63;3.89;-0.78;0.0;;57.68;0.0;M;1;Nelore;2020-01-01
4529;181.0;33.0;215.0;465.0;724.6376811594203;38.0;99.08;3.77;2.57;0.24;0.0;;37.32;0.0;M;1;Nelore;2020-01-01
4530;141.0;35.0;196.0;391.0;565.2173913043478;37.0;96.61;3.75;3.27;0.46;0.0;;55.85;0.0;M;1;Nelore;2020-01-01
4531;123.0;35.0;214.0;513.0;866.6666666666667;41.0;85.28;4.94;3.71;0.0;0.0;;52.19;0.0;M;1;Nelore;2020-01-01
4532;137.0;33.0;219.0;485.0;771.0144927536232;35.0;86.68;5.02;3.21;0.08;0.0;;51.51;0.0;M;1;Nelore;2020-01-01
4533;193.0;36.0;230.0;463.0;675.3623188405797;41.0;81.8;4.87;4.23;-0.37;0.0;;45.65;0.0;M;1;Nelore;2020-01-01
4534;117.0;36.0;226.0;508.0;817.3913043478261;40.0;80.92;3.7;4.19;-0.29;0.0;;50.35;0.0;M;1;Nelore;2020-01-01
4535;187.0;39.0;223.0;402.0;518.840579710145;38.0;85.93;3.95;3.89;-0.84;0.0;;46.37;0.0;M;1;Nelore;2020-01-01
4536;119.0;34.0;203.0;405.0;585.5072463768116;39.0;86.56;3.73;4.93;0.32;0.0;;65.82;0.0;M;1;Nelore;2020-01-01
4537;168.0;41.0;199.0;415.0;626.0869565217391;41.0;98.66;4.41;3.92;0.18;0.0;;55.95;0.0;M;1;Nelore;2020-01-01
4538;169.0;32.0;214.0;404.0;550.7246376811594;46.0;82.34;3.94;3.02;-0.01;0.0;;49.35;0.0;M;1;Nelore;2020-01-01
4539;112.0;34.0;226.0;483.0;744.927536231884;37.0;83.35;2.9;3.47;-0.16;0.0;;58.47;0.0;M;1;Nelore;2020-01-01
4540;146.0;33.0;201.0;426.0;652.1739130434783;35.0;85.6;3.06;3.6;0.35;0.0;;56.96;0.0;M;1;Nelore;2020-01-01
4541;119.0;33.0;218.0;379.0;466.6666666666667;42.0;84.35;3.3;3.62;-0.42;0.0;;52.74;0.0;M;1;Nelore;2020-01-01
4542;178.0;28.0;204.0;365.0;466.6666666666667;41.0;73.67;4.78;3.98;-0.11;0.0;;36.68;0.0;M;1;Nelore;2020-01-01
4543;148.0;35.0;207.0;449.0;701.4492753623189;37.0;89.53;3.63;4.62;-0.74;0.0;;33.64;0.0;M;1;Nelore;2020-01-01
4544;178.0;38.0;205.0;371.0;481.15942028985506;37.0;79.08;4.24;4.02;-0.37;0.0;;71.13;0.0;M;1;Nelore;2020-01-01
4545;196.0;36.0;191.0;428.0;686.9565217391305;40.0;88.27;4.66;3.89;-0.07;0.0;;30.03;0.0;M;1;Nelore;2020-01-01
4546;114.0;35.0;205.0;439.0;678.2608695652174;43.0;82.09;4.53;3.09;-0.05;0.0;;38.71;0.0;M;1;Nelore;2020-01-01
4547;147.0;38.0;193.0;477.0;823.1884057971014;39.0;85.71;5.54;2.88;-0.08;0.0;;58.43;0.0;M;1;Nelore;2020-01-01
4548;105.0;40.0;224.0;526.0;875.3623188405797;41.0;76.64;5.94;2.72;-0.45;0.0;;26.66;0.0;M;1;Nelore;2020-01-01
4549;192.0;38.0;188.0;460.0;788.4057971014494;38.0;95.02;5.19;4.42;-0.21;0.0;;58.9;0.0;M;1;Nelore;2020-01-01
4550;127.0;34.0;219.0;476.0;744.927536231884;39.0;69.61;5.37;3.11;-0.08;0.0;;59.72;0.0;M;1;Nelore;2020-01-01
4551;165.0;41.0;226.0;478.0;730.4347826086956;42.0;92.1;5.16;4.41;0.4;0.0;;62.89;0.0;M;1;Nelore;2020-01-01
4552;100.0;37.0;217.0;536.0;924.6376811594203;37.0;93.34;4.06;4.07;-0.46;0.0;;23.83;0.0;M;1;Nelore;2020-01-01
4553;193.0;33.0;183.0;473.0;840.5797101449275;37.0;92.35;4.46;2.7;0.08;0.0;;66.21;0.0;M;1;Nelore;2020-01-01
4554;150.0;34.0;210.0;447.0;686.9565217391305;38.0;88.43;3.44;2.98;-0.18;0.0;;66.97;0.0;M;1;Nelore;2020-01-01
4555;137.0;35.0;209.0;420.0;611.5942028985507;38.0;86.57;4.23;4.09;-0.04;0.0;;45.71;0.0;M;1;Nelore;2020-01-01
4556;156.0;31.0;218.0;456.0;689.8550724637681;34.0;83.26;3.94;3.65;-0.28;0.0;;29.97;0.0;M;1;Nelore;2020-01-01
4557;109.0;36.0;220.0;407.0;542.0289855072464;39.0;80.55;4.02;3.84;-0.1;0.0;;72.7;0.0;M;1;Nelore;2020-01-01
4558;153.0;33.0;234.0;460.0;655.0724637681159;37.0;82.76;5.03;4.24;-0.38;0.0;;56.84;0.0;M;1;Nelore;2020-01-01
4559;143.0;32.0;239.0;421.0;527.536231884058;41.0;98.72;4.67;3.75;-0.54;0.0;;20.81;0.0;M;1;Nelore;2020-01-01
4560;191.0;31.0;195.0;398.0;588.4057971014493;38.0;70.24;4.43;2.94;-0.64;0.0;;60.7;0.0;M;1;Nelore;2020-01-01
4561;121.0;36.0;241.0;469.0;660.8695652173913;41.0;86.85;6.07;4.27;0.65;0.0;;49.64;0.0;M;1;Nelore;2020-01-01
4562;182.0;35.0;199.0;499.0;869.5652173913044;42.0;95.79;4.26;4.01;-0.37;0.0;;57.42;0.0;M;1;Nelore;2020-01-01
4563;109.0;34.0;205.0;494.0;837.6811594202899;39.0;76.03;4.0;3.52;-0.45;0.0;;33.59;0.0;M;1;Nelore;2020-01-01
4564;194.0;38.0;208.0;427.0;634.7826086956521;41.0;91.04;5.48;3.83;-1.02;0.0;;69.61;0.0;M;1;Nelore;2020-01-01
4565;168.0;35.0;215.0;445.0;666.6666666666666;39.0;84.38;4.43;4.89;0.79;0.0;;46.92;0.0;M;1;Nelore;2020-01-01
4566;193.0;34.0;238.0;441.0;588.4057971014493;39.0;82.36;4.69;3.96;0.15;0.0;;50.95;0.0;M;1;Nelore;2020-01-01
4567;170.0;32.0;213.0;438.0;652.1739130434783;40.0;69.65;4.83;3.15;0.09;0.0;;28.32;0.0;M;1;Nelore;2020-01-01
4568;184.0;32.0;188.0;482.0;852.1739130434783;36.0;83.17;3.9;2.35;-0.16;0.0;;82.82;0.0;M;1;Nelore;2020-01-01
4569;175.0;35.0;180.0;398.0;631.8840579710145;38.0;72.2;5.04;3.09;0.07;0.0;;25.95;0.0;M;1;Nelore;2020-01-01
4570;198.0;36.0;193.0;496.0;878.2608695652174;41.0;95.3;4.55;2.9;0.01;0.0;;66.83;0.0;M;1;Nelore;2020-01-01
4571;102.0;36.0;222.0;490.0;776.8115942028986;38.0;91.73;5.19;2.72;-0.01;0.0;;49.42;0.0;M;1;Nelore;2020-01-01
4572;157.0;31.0;253.0;446.0;559.4202898550724;44.0;89.06;4.87;3.68;0.1;0.0;;20.77;0.0;M;1;Nelore;2020-01-01
4573;162.0;33.0;219.0;475.0;742.0289855072464;36.0;77.18;4.87;3.39;-0.15;0.0;;65.09;0.0;M;1;Nelore;2020-01-01
4574;156.0;37.0;198.0;476.0;805.7971014492754;42.0;84.24;4.81;3.97;-0.47;0.0;;53.59;0.0;M;1;Nelore;2020-01-01
4575;158.0;34.0;196.0;457.0;756.5217391304348;41.0;78.51;4.38;3.91;-0.11;0.0;;59.89;0.0;M;1;Nelore;2020-01-01
4576;121.0;40.0;231.0;415.0;533.3333333333334;38.0;83.5;5.77;3.87;-0.06;0.0;;72.45;0.0;M;1;Nelore;2020-01-01
4577;100.0;33.0;221.0;494.0;791.304347826087;43.0;86.12;5.16;4.28;-0.58;0.0;;66.5;0.0;M;1;Nelore;2020-01-01
4578;128.0;41.0;211.0;398.0;542.0289855072464;41.0;91.13;4.58;4.52;0.1;0.0;;28.84;0.0;M;1;Nelore;2020-01-01
4579;104.0;34.0;215.0;449.0;678.2608695652174;39.0;76.15;4.87;3.9;-0.5;0.0;;68.87;0.0;M;1;Nelore;2020-01-01
4580;152.0;40.0;225.0;459.0;678.2608695652174;43.0;83.22;5.11;4.64;-0.33;0.0;;37.27;0.0;M;1;Nelore;2020-01-01
4581;100.0;36.0;211.0;434.0;646.3768115942029;40.0;90.35;4.75;3.98;-0.01;0.0;;27.72;0.0;M;1;Nelore;2020-01-01
4582;179.0;37.0;226.0;406.0;521.7391304347826;34.0;92.35;4.01;3.31;0.22;0.0;;62.11;0.0;M;1;Nelore;2020-01-01
4583;105.0;35.0;218.0;523.0;884.0579710144928;43.0;82.63;3.73;3.74;0.17;0.0;;54.33;0.0;M;1;Nelore;2020-01-01
4584;137.0;36.0;219.0;395.0;510.1449275362319;40.0;91.49;3.85;4.03;0.33;0.0;;64.19;0.0;M;1;Nelore;2020-01-01
4585;144.0;31.0;216.0;370.0;446.3768115942029;39.0;75.73;4.07;3.43;0.01;0.0;;37.46;0.0;M;1;Nelore;2020-01-01
4586;151.0;37.0;225.0;439.0;620.2898550724639;39.0;87.24;4.97;4.78;-0.29;0.0;;29.12;0.0;M;1;Nelore;2020-01-01
4587;128.0;35.0;247.0;468.0;640.5797101449275;38.0;89.64;4.16;4.03;-0.37;0.0;;31.66;0.0;M;1;Nelore;2020-01-01
4588;167.0;38.0;224.0;486.0;759.4202898550725;40.0;83.98;5.1;3.93;0.01;0.0;;26.13;0.0;M;1;Nelore;2020-01-01
4589;109.0;35.0;219.0;453.0;678.2608695652174;41.0;94.25;3.44;3.86;0.23;0.0;;72.08;0.0;M;1;Nelore;2020-01-01
4590;136.0;37.0;206.0;382.0;510.1449275362319;38.0;80.67;4.44;2.96;-0.02;0.0;;50.4;0.0;M;1;Nelore;2020-01-01
4591;103.0;34.0;210.0;452.0;701.4492753623189;39.0;85.55;4.89;3.92;0.3;0.0;;27.84;0.0;M;1;Nelore;2020-01-01
4592;134.0;39.0;238.0;440.0;585.5072463768116;40.0;92.79;4.58;2.56;-0.31;0.0;;54.6;0.0;M;1;Nelore;2020-01-01
4593;171.0;38.0;219.0;498.0;808.695652173913;41.0;83.18;4.74;3.87;0.13;0.0;;21.69;0.0;M;1;Nelore;2020-01-01
4594;128.0;38.0;220.0;504.0;823.1884057971014;40.0;102.1;3.62;3.25;-0.85;0.0;;83.48;0.0;M;1;Nelore;2020-01-01
4595;159.0;35.0;222.0;496.0;794.2028985507246;38.0;81.26;3.38;3.81;-0.2;0.0;;20.61;0.0;M;1;Nelore;2020-01-01
4596;190.0;33.0;221.0;433.0;614.4927536231885;38.0;84.43;3.42;2.73;-0.37;0.0;;40.95;0.0;M;1;Nelore;2020-01-01
4597;134.0;39.0;219.0;434.0;623.1884057971015;43.0;104.5;4.32;4.29;0.19;0.0;;45.97;0.0;M;1;Nelore;2020-01-01
4598;108.0;36.0;201.0;387.0;539.1304347826087;39.0;93.18;4.86;3.58;-0.04;0.0;;60.83;0.0;M;1;Nelore;2020-01-01
4599;177.0;38.0;215.0;436.0;640.5797101449275;37.0;89.13;3.5;2.49;-0.21;0.0;;61.1;0.0;M;1;Nelore;2020-01-01
4600;132.0;34.0;200.0;360.0;463.768115942029;38.0;92.26;2.91;3.33;0.11;0.0;;72.69;0.0;M;1;Nelore;2020-01-01
4601;146.0;35.0;175.0;421.0;713.0434782608695;39.0;73.92;4.83;3.65;-0.14;0.0;;59.72;0.0;M;1;Nelore;2020-01-01
4602;154.0;37.0;218.0;440.0;643.4782608695651;37.0;83.47;3.68;3.46;-0.6;0.0;;26.51;0.0;M;1;Nelore;2020-01-01
4603;150.0;33.0;200.0;377.0;513.0434782608696;35.0;82.28;4.07;3.13;-0.5;0.0;;48.09;0.0;M;1;Nelore;2020-01-01
4604;174.0;32.0;179.0;441.0;759.4202898550725;39.0;80.21;4.6;3.14;-0.51;0.0;;61.0;0.0;M;1;Nelore;2020-01-01
4605;152.0;34.0;210.0;398.0;544.927536231884;40.0;74.96;4.87;3.6;-0.22;0.0;;75.64;0.0;M;1;Nelore;2020-01-01
4606;141.0;37.0;224.0;451.0;657.9710144927536;38.0;91.75;3.33;3.54;0.1;0.0;;22.03;0.0;M;1;Nelore;2020-01-01
4607;164.0;35.0;205.0;466.0;756.5217391304348;40.0;99.47;4.55;3.65;-0.53;0.0;;84.33;0.0;M;1;Nelore;2020-01-01
4608;146.0;36.0;211.0;505.0;852.1739130434783;43.0;106.22;6.1;3.91;0.22;0.0;;52.76;0.0;M;1;Nelore;2020-01-01
4609;102.0;31.0;171.0;439.0;776.8115942028986;41.0;75.34;5.47;3.81;-0.06;0.0;;67.39;0.0;M;1;Nelore;2020-01-01
4610;108.0;36.0;210.0;376.0;481.15942028985506;37.0;74.08;3.77;3.69;-0.33;0.0;;54.98;0.0;M;1;Nelore;2020-01-01
4611;112.0;35.0;236.0;475.0;692.7536231884059;42.0;71.06;4.28;3.2;-0.71;0.0;;63.61;0.0;M;1;Nelore;2020-01-01
4612;154.0;34.0;212.0;476.0;765.2173913043479;41.0;88.69;4.96;3.89;-0.48;0.0;;62.01;0.0;M;1;Nelore;2020-01-01
4613;146.0;33.0;186.0;425.0;692.7536231884059;38.0;73.88;4.16;2.71;0.26;0.0;;68.3;0.0;M;1;Nelore;2020-01-01
4614;190.0;34.0;211.0;385.0;504.3478260869565;41.0;83.71;3.54;2.92;-0.2;0.0;;45.83;0.0;M;1;Nelore;2020-01-01
4615;189.0;32.0;210.0;399.0;547.8260869565216;38.0;79.11;3.1;3.23;-0.12;0.0;;59.92;0.0;M;1;Nelore;2020-01-01
4616;147.0;33.0;231.0;437.0;597.1014492753624;43.0;79.92;4.94;3.54;0.07;0.0;;77.75;0.0;M;1;Nelore;2020-01-01
4617;191.0;34.0;226.0;410.0;533.3333333333334;42.0;87.12;3.98;3.72;-0.34;0.0;;25.95;0.0;M;1;Nelore;2020-01-01
4618;140.0;37.0;241.0;437.0;568.1159420289855;42.0;89.02;4.08;3.47;0.09;0.0;;56.42;0.0;M;1;Nelore;2020-01-01
4619;178.0;35.0;206.0;400.0;562.3188405797101;35.0;92.22;5.34;2.93;0.27;0.0;;72.03;0.0;M;1;Nelore;2020-01-01
4620;114.0;40.0;215.0;445.0;666.6666666666666;39.0;85.4;5.13;2.71;0.89;0.0;;75.64;0.0;M;1;Nelore;2020-01-01
4621;166.0;35.0;227.0;474.0;715.9420289855072;36.0;95.01;4.78;3.66;-0.3;0.0;;49.54;0.0;M;1;Nelore;2020-01-01
4622;158.0;38.0;210.0;416.0;597.1014492753624;41.0;86.52;4.82;3.59;0.49;0.0;;81.34;0.0;M;1;Nelore;2020-01-01
4623;172.0;39.0;203.0;430.0;657.9710144927536;43.0;93.1;3.74;3.42;-0.38;0.0;;49.53;0.0;M;1;Nelore;2020-01-01
4624;168.0;34.0;247.0;453.0;597.1014492753624;38.0;91.97;4.43;3.86;-0.43;0.0;;29.4;0.0;M;1;Nelore;2020-01-01
4625;188.0;38.0;201.0;346.0;420.28985507246375;37.0;73.0;4.97;3.17;0.06;0.0;;53.04;0.0;M;1;Nelore;2020-01-01
4626;190.0;33.0;192.0;444.0;730.4347826086956;38.0;70.53;2.29;2.95;0.06;0.0;;41.42;0.0;M;1;Nelore;2020-01-01
4627;114.0;35.0;197.0;445.0;718.8405797101449;39.0;75.11;4.06;3.46;-0.09;0.0;;41.19;0.0;M;1;Nelore;2020-01-01
4628;139.0;38.0;204.0;460.0;742.0289855072464;43.0;89.79;4.41;3.99;0.32;0.0;;76.96;0.0;M;1;Nelore;2020-01-01
4629;164.0;39.0;228.0;529.0;872.4637681159421;43.0;96.92;3.99;3.37;0.08;0.0;;45.69;0.0;M;1;Nelore;2020-01-01
4630;191.0;36.0;201.0;486.0;826.0869565217391;41.0;75.43;4.34;3.53;-0.72;0.0;;59.84;0.0;M;1;Nelore;2020-01-01
4631;181.0;36.0;219.0;431.0;614.4927536231885;39.0;81.53;4.24;4.15;0.46;0.0;;38.37;0.0;M;1;Nelore;2020-01-01
4632;127.0;34.0;207.0;399.0;556.5217391304348;38.0;84.91;4.08;3.5;-0.21;0.0;;21.76;0.0;M;1;Nelore;2020-01-01
4633;106.0;29.0;196.0;459.0;762.3188405797101;41.0;88.94;3.87;3.99;0.09;0.0;;83.61;0.0;M;1;Nelore;2020-01-01
