ID_Animal;Fazenda;Estacao;Lote_Manejo;Regime_Alim;Tipo_Pastagem;Localidade_Bloco;Data_Coleta_Pesagem;Piquete;ITU_Media;ITU_DP;ITU_Max
4494;1;Primavera;Pasto A;Pasto + Suplemento;Mombaça;Setor_1B;2024-12-20;49;71.81;5.13;79.52
4495;2;Verão;Pasto C;Pasto;Panicum;Setor_2B;2024-03-02;134;77.95;5.7;86.18
4496;3;Primavera;Confinamento;Confinamento;Dieta Total;Setor_3A;2024-10-07;28;72.11;6.01;82.74
4497;2;Inverno;Pasto C;Pasto;Panicum;Setor_2A;2024-09-24;130;72.08;5.07;80.46
4498;1;Outono;Pasto C;Pasto;Mombaça;Setor_1B;2024-06-18;121;68.82;5.66;77.14
4499;1;Outono;Pasto A;Pasto;Mombaça;Setor_1A;2024-04-16;46;68.43;5.94;77.61
4500;3;Outono;Pasto B;Pasto;Braquiária;Setor_3A;2024-04-28;105;68.63;5.76;77.06
4501;2;Outono;Confinamento;Confinamento;Dieta Total;Setor_2B;2024-05-10;18;68.57;5.7;76.77
4502;2;Primavera;Pasto A;Pasto;Mombaça;Setor_2A;2024-10-07;58;72.39;5.7;79.82
4503;1;Inverno;Pasto A;Pasto;Panicum;Setor_1B;2024-07-24;50;61.71;5.31;69.91
4504;1;Inverno;Pasto C;Pasto + Suplemento;Braquiária;Setor_1B;2024-07-24;120;61.92;5.08;70.73
4505;3;Primavera;Pasto A;Pasto;Panicum;Setor_3C;2024-11-08;78;72.02;5.44;81.16
4506;3;Primavera;Pasto B;Pasto;Braquiária;Setor_3B;2024-12-20;108;72.46;5.17;79.6
4507;1;Inverno;Confinamento;Confinamento;Dieta Total;Setor_1A;2024-09-07;1;61.58;5.42;70.42
4508;3;Verão;Pasto C;Pasto;Mombaça;Setor_3C;2024-02-08;151;78.12;5.56;86.56
4509;2;Primavera;Pasto B;Pasto;Panicum;Setor_2B;2024-12-11;97;71.3;6.11;79.56
4510;1;Outono;Pasto B;Pasto;Braquiária;Setor_1C;2024-05-13;88;68.62;5.62;77.29
4511;1;Inverno;Pasto C;Pasto;Braquiária;Setor_1A;2024-08-18;118;61.58;5.36;70.46
4512;3;Primavera;Pasto A;Pasto + Suplemento;Mombaça;Setor_3B;2024-12-12;72;72.11;4.95;79.95
4513;1;Verão;Pasto B;Pasto + Suplemento;Mombaça;Setor_1A;2024-02-09;80;77.52;6.25;87.85
4514;3;Primavera;Confinamento;Confinamento;Dieta Total;Setor_3C;2024-11-17;35;71.56;5.88;80.59
4515;3;Verão;Confinamento;Confinamento;Dieta Total;Setor_3B;2024-02-15;31;77.25;5.84;85.03
4516;3;Primavera;Pasto B;Pasto + Suplemento;Mombaça;Setor_3C;2024-10-26;113;72.53;5.31;81.59
4517;2;Verão;Pasto A;Pasto + Suplemento;Panicum;Setor_2C;2024-03-16;67;77.14;5.71;85.08
4518;2;Primavera;Pasto B;Pasto;Braquiária;Setor_2B;2024-11-07;96;71.99;5.45;79.29
4519;3;Verão;Pasto C;Pasto + Suplemento;Mombaça;Setor_3C;2024-02-11;151;78.62;5.73;86.88
4520;3;Primavera;Pasto C;Pasto;Panicum;Setor_3A;2024-11-02;140;71.54;5.44;79.3
4521;1;Inverno;Pasto B;Pasto;Panicum;Setor_1C;2024-09-28;91;72.0;5.33;79.76
4522;1;Verão;Pasto A;Pasto;Panicum;Setor_1A;2024-01-24;47;78.22;5.57;87.75
4523;3;Outono;Pasto A;Pasto;Mombaça;Setor_3A;2024-04-01;71;68.59;5.71;77.41
4524;1;Primavera;Pasto A;Pasto;Mombaça;Setor_1C;2024-11-18;55;71.99;5.41;81.23
4525;2;Inverno;Pasto B;Pasto;Braquiária;Setor_2A;2024-09-19;93;62.26;5.08;70.04
4526;2;Primavera;Pasto A;Pasto + Suplemento;Braquiária;Setor_2B;2024-12-14;62;72.03;5.35;79.74
4527;1;Primavera;Pasto B;Pasto;Mombaça;Setor_1A;2024-11-05;80;71.82;5.74;80.25
4528;3;Outono;Pasto B;Pasto;Panicum;Setor_3A;2024-04-11;106;67.93;5.38;76.65
4529;1;Verão;Pasto A;Pasto;Panicum;Setor_1A;2024-01-13;46;77.86;6.0;88.58
4530;3;Outono;Pasto B;Pasto;Panicum;Setor_3B;2024-06-27;110;62.0;4.8;68.35
4531;1;Inverno;Pasto B;Pasto + Suplemento;Braquiária;Setor_1B;2024-07-16;86;62.1;4.87;69.22
4532;1;Primavera;Confinamento;Confinamento;Dieta Total;Setor_1B;2024-12-21;8;77.67;5.64;87.73
4533;2;Verão;Pasto C;Pasto;Panicum;Setor_2C;2024-03-11;136;77.13;5.69;85.53
4534;1;Outono;Pasto B;Pasto + Suplemento;Braquiária;Setor_1B;2024-05-25;84;68.4;5.32;77.25
4535;1;Outono;Pasto B;Pasto + Suplemento;Braquiária;Setor_1A;2024-05-24;81;68.7;6.08;78.2
4536;1;Verão;Pasto C;Pasto;Panicum;Setor_1B;2024-03-24;121;68.62;5.58;76.62
4537;2;Inverno;Pasto B;Pasto;Panicum;Setor_2B;2024-08-15;98;62.37;4.77;68.55
4538;1;Primavera;Pasto C;Pasto + Suplemento;Mombaça;Setor_1A;2024-10-24;116;72.19;6.02;81.83
4539;1;Verão;Pasto C;Pasto + Suplemento;Mombaça;Setor_1C;2024-02-06;126;77.13;6.03;85.48
4540;3;Inverno;Pasto A;Pasto + Suplemento;Panicum;Setor_3B;2024-07-24;73;62.22;5.08;69.57
4541;1;Inverno;Pasto B;Pasto + Suplemento;Braquiária;Setor_1C;2024-09-16;88;61.61;5.41;70.48
4542;1;Inverno;Pasto B;Pasto;Braquiária;Setor_1C;2024-07-18;90;61.71;5.55;69.09
4543;1;Inverno;Confinamento;Confinamento;Dieta Total;Setor_1C;2024-09-02;11;62.28;5.02;68.96
4544;3;Primavera;Pasto C;Pasto;Braquiária;Setor_3A;2024-12-02;140;71.96;5.22;79.51
4545;3;Primavera;Confinamento;Confinamento;Dieta Total;Setor_3C;2024-10-27;33;72.0;5.73;79.68
4546;1;Outono;Confinamento;Confinamento;Dieta Total;Setor_1C;2024-06-02;12;68.62;6.29;77.91
4547;2;Inverno;Pasto A;Pasto;Braquiária;Setor_2A;2024-07-14;57;62.09;5.69;69.95
4548;2;Outono;Pasto B;Pasto + Suplemento;Braquiária;Setor_2C;2024-04-27;103;68.71;5.33;76.31
4549;1;Verão;Pasto C;Pasto;Mombaça;Setor_1C;2024-03-08;125;78.0;5.17;85.56
4550;1;Verão;Confinamento;Confinamento;Dieta Total;Setor_1A;2024-01-23;1;77.29;6.06;86.32
4551;2;Primavera;Confinamento;Confinamento;Dieta Total;Setor_2A;2024-10-01;14;72.17;5.71;80.08
4552;1;Verão;Pasto A;Pasto;Panicum;Setor_1B;2024-01-17;50;77.7;6.19;88.36
4553;1;Primavera;Pasto B;Pasto;Mombaça;Setor_1B;2024-11-12;85;71.05;5.82;80.1
4554;1;Verão;Pasto A;Pasto;Braquiária;Setor_1B;2024-01-20;51;77.96;5.56;87.35
4555;1;Primavera;Confinamento;Confinamento;Dieta Total;Setor_1C;2024-12-22;12;77.87;5.74;87.3
4556;3;Inverno;Pasto C;Pasto;Braquiária;Setor_3C;2024-09-16;148;61.65;5.58;69.27
4557;3;Primavera;Confinamento;Confinamento;Dieta Total;Setor_3C;2024-12-16;36;71.74;5.39;79.35
4558;1;Primavera;Pasto A;Pasto + Suplemento;Braquiária;Setor_1A;2024-10-01;45;71.82;5.84;81.88
4559;2;Outono;Pasto A;Pasto;Braquiária;Setor_2C;2024-06-18;66;68.75;5.54;78.64
4560;3;Outono;Pasto C;Pasto + Suplemento;Panicum;Setor_3B;2024-05-01;145;68.85;5.44;76.17
4561;2;Inverno;Pasto C;Pasto;Braquiária;Setor_2A;2024-07-17;128;61.6;5.58;69.45
4562;2;Primavera;Pasto B;Pasto;Panicum;Setor_2A;2024-12-09;94;71.95;6.12;81.53
4563;1;Inverno;Pasto C;Pasto + Suplemento;Braquiária;Setor_1A;2024-09-10;117;62.08;5.27;69.63
4564;2;Outono;Pasto B;Pasto + Suplemento;Panicum;Setor_2B;2024-04-17;99;68.93;5.85;77.15
4565;2;Outono;Pasto A;Pasto;Mombaça;Setor_2B;2024-06-22;62;62.17;4.93;68.03
4566;1;Outono;Pasto C;Pasto + Suplemento;Braquiária;Setor_1B;2024-05-26;122;68.13;5.79;78.95
4567;3;Inverno;Pasto B;Pasto;Panicum;Setor_3A;2024-07-04;106;62.15;4.67;67.91
4568;3;Inverno;Pasto C;Pasto;Mombaça;Setor_3A;2024-07-17;140;62.27;5.41;70.36
4569;3;Inverno;Pasto B;Pasto;Braquiária;Setor_3C;2024-07-08;113;61.42;5.24;69.26
4570;1;Inverno;Confinamento;Confinamento;Dieta Total;Setor_1C;2024-07-20;9;61.79;5.0;69.13
4571;1;Inverno;Pasto A;Pasto;Braquiária;Setor_1B;2024-09-09;48;62.21;5.59;69.2
4572;2;Outono;Pasto B;Pasto;Braquiária;Setor_2A;2024-05-09;92;68.32;5.62;75.85
4573;1;Verão;Pasto B;Pasto;Panicum;Setor_1C;2024-02-03;88;76.99;5.65;85.49
4574;2;Outono;Confinamento;Confinamento;Dieta Total;Setor_2B;2024-05-13;17;67.88;5.93;77.06
4575;3;Outono;Pasto C;Pasto;Panicum;Setor_3B;2024-05-19;147;68.83;5.39;76.66
4576;2;Verão;Pasto A;Pasto;Mombaça;Setor_2C;2024-01-23;67;78.04;5.46;87.1
4577;1;Inverno;Pasto A;Pasto;Panicum;Setor_1B;2024-07-10;48;62.12;4.96;70.64
4578;2;Verão;Pasto A;Pasto + Suplemento;Panicum;Setor_2A;2024-03-27;59;68.69;5.65;76.61
4579;1;Outono;Confinamento;Confinamento;Dieta Total;Setor_1B;2024-04-21;7;68.4;6.07;77.0
4580;2;Inverno;Confinamento;Confinamento;Dieta Total;Setor_2A;2024-09-25;14;72.02;5.74;79.81
4581;3;Outono;Pasto C;Pasto;Braquiária;Setor_3A;2024-04-03;143;68.86;6.0;77.62
4582;1;Inverno;Confinamento;Confinamento;Dieta Total;Setor_1C;2024-08-13;9;61.81;5.3;68.96
4583;2;Outono;Confinamento;Confinamento;Dieta Total;Setor_2C;2024-05-18;21;68.82;5.77;78.73
4584;2;Verão;Pasto B;Pasto;Braquiária;Setor_2C;2024-02-02;100;77.97;5.64;86.49
4585;3;Inverno;Pasto B;Pasto + Suplemento;Braquiária;Setor_3B;2024-09-01;108;62.09;4.97;68.76
4586;2;Outono;Pasto A;Pasto;Braquiária;Setor_2C;2024-06-06;64;68.66;5.22;76.2
4587;2;Inverno;Confinamento;Confinamento;Dieta Total;Setor_2C;2024-07-16;24;62.16;4.71;68.96
4588;2;Verão;Confinamento;Confinamento;Dieta Total;Setor_2B;2024-02-21;17;77.59;6.21;87.34
4589;2;Verão;Pasto A;Pasto;Braquiária;Setor_2C;2024-02-19;64;77.02;5.75;86.59
4590;3;Verão;Pasto C;Pasto;Braquiária;Setor_3B;2024-01-17;147;77.49;5.21;86.32
4591;1;Primavera;Confinamento;Confinamento;Dieta Total;Setor_1B;2024-10-08;6;71.87;5.57;80.23
4592;2;Primavera;Confinamento;Confinamento;Dieta Total;Setor_2A;2024-10-28;13;71.46;5.58;79.51
4593;2;Primavera;Pasto C;Pasto;Braquiária;Setor_2A;2024-12-19;131;72.19;5.76;80.81
4594;1;Primavera;Pasto B;Pasto + Suplemento;Mombaça;Setor_1C;2024-11-09;90;71.71;5.93;82.19
4595;1;Inverno;Pasto C;Pasto + Suplemento;Mombaça;Setor_1B;2024-07-03;120;61.79;5.11;70.15
4596;3;Outono;Pasto C;Pasto;Mombaça;Setor_3A;2024-06-09;143;68.79;5.94;78.48
4597;2;Inverno;Confinamento;Confinamento;Dieta Total;Setor_2A;2024-09-19;13;61.99;5.44;69.76
4598;1;Outono;Pasto B;Pasto + Suplemento;Mombaça;Setor_1A;2024-06-02;81;68.2;5.66;77.19
4599;2;Outono;Confinamento;Confinamento;Dieta Total;Setor_2A;2024-04-28;13;68.3;5.43;75.36
4600;3;Verão;Confinamento;Confinamento;Dieta Total;Setor_3C;2024-02-01;33;77.48;5.48;84.64
4601;3;Outono;Pasto C;Pasto + Suplemento;Braquiária;Setor_3A;2024-04-19;140;68.62;5.86;76.67
4602;1;Inverno;Pasto C;Pasto;Mombaça;Setor_1C;2024-07-25;124;61.99;4.97;68.13
4603;3;Outono;Confinamento;Confinamento;Dieta Total;Setor_3B;2024-06-27;32;62.22;4.82;70.31
4604;1;Verão;Pasto A;Pasto + Suplemento;Braquiária;Setor_1C;2024-02-03;53;78.03;5.77;86.77
4605;1;Outono;Pasto C;Pasto;Mombaça;Setor_1A;2024-05-06;116;68.47;5.73;77.11
4606;2;Inverno;Pasto B;Pasto + Suplemento;Panicum;Setor_2B;2024-09-08;97;61.89;4.91;70.13
4607;1;Inverno;Pasto A;Pasto + Suplemento;Mombaça;Setor_1B;2024-09-27;49;72.1;6.01;80.85
4608;2;Outono;Confinamento;Confinamento;Dieta Total;Setor_2C;2024-05-22;21;69.11;5.6;76.59
4609;1;Verão;Confinamento;Confinamento;Dieta Total;Setor_1B;2024-03-11;5;77.45;5.94;85.29
4610;3;Verão;Pasto B;Pasto;Mombaça;Setor_3C;2024-02-25;114;77.3;5.04;84.46
4611;1;Primavera;Confinamento;Confinamento;Dieta Total;Setor_1B;2024-12-05;6;71.83;5.36;79.8
4612;2;Primavera;Pasto A;Pasto;Braquiária;Setor_2C;2024-12-24;66;77.77;5.21;86.46
4613;3;Inverno;Pasto A;Pasto;Mombaça;Setor_3A;2024-07-17;68;62.06;5.48;69.48
4614;1;Inverno;Pasto C;Pasto;Panicum;Setor_1C;2024-09-12;127;61.64;5.02;69.58
4615;3;Outono;Pasto A;Pasto + Suplemento;Braquiária;Setor_3C;2024-04-04;77;68.23;5.65;76.73
4616;2;Outono;Pasto A;Pasto + Suplemento;Braquiária;Setor_2A;2024-05-08;58;68.12;5.32;76.09
4617;1;Outono;Confinamento;Confinamento;Dieta Total;Setor_1C;2024-04-11;12;68.15;6.14;77.46
4618;1;Inverno;Pasto A;Pasto;Mombaça;Setor_1C;2024-09-25;55;71.67;5.86;81.12
4619;3;Primavera;Pasto A;Pasto;Braquiária;Setor_3B;2024-12-20;75;72.12;5.83;81.33
4620;2;Primavera;Pasto A;Pasto;Braquiária;Setor_2C;2024-11-25;65;71.75;5.73;80.16
4621;3;Verão;Pasto C;Pasto;Braquiária;Setor_3B;2024-02-01;145;77.65;4.89;85.59
4622;2;Verão;Pasto C;Pasto;Braquiária;Setor_2A;2024-03-09;128;77.51;6.25;86.58
4623;2;Inverno;Pasto A;Pasto;Braquiária;Setor_2B;2024-08-16;63;62.23;5.25;69.58
4624;2;Verão;Pasto B;Pasto + Suplemento;Braquiária;Setor_2B;2024-01-12;97;77.98;6.05;86.36
4625;3;Primavera;Confinamento;Confinamento;Dieta Total;Setor_3A;2024-12-13;25;71.87;5.46;80.68
4626;3;Verão;Pasto A;Pasto;Panicum;Setor_3B;2024-02-06;75;77.89;6.01;86.46
4627;1;Inverno;Pasto A;Pasto;Mombaça;Setor_1A;2024-09-19;45;61.89;5.17;70.01
4628;2;Verão;Confinamento;Confinamento;Dieta Total;Setor_2C;2024-03-13;24;78.23;5.98;86.4
4629;2;Inverno;Pasto C;Pasto + Suplemento;Panicum;Setor_2C;2024-07-25;136;61.81;5.22;68.27
4630;1;Inverno;Pasto C;Pasto;Braquiária;Setor_1B;2024-09-10;120;61.67;5.51;69.42
4631;1;Verão;Pasto A;Pasto + Suplemento;Braquiária;Setor_1C;2024-01-23;54;77.34;5.66;85.47
4632;3;Inverno;Confinamento;Confinamento;Dieta Total;Setor_3A;2024-07-03;27;62.19;5.34;69.6
4633;1;Outono;Confinamento;Confinamento;Dieta Total;Setor_1C;2024-05-05;12;68.56;5.77;77.54
4634;1;Outono;Pasto C;Pasto + Suplemento;Mombaça;Setor_1A;2024-05-23;116;68.72;5.0;76.73
4635;3;Verão;Pasto A;Pasto;Panicum;Setor_3C;2024-03-05;76;77.61;6.33;87.21
4636;1;Verão;Pasto A;Pasto;Mombaça;Setor_1B;2024-03-13;48;77.54;5.99;87.28
4637;3;Primavera;Pasto B;Pasto;Panicum;Setor_3C;2024-11-12;113;71.79;5.19;80.83
4638;3;Outono;Pasto C;Pasto;Braquiária;Setor_3C;2024-04-03;148;68.03;5.83;77.22
4639;2;Outono;Pasto A;Pasto;Mombaça;Setor_2C;2024-04-10;66;68.52;5.42;76.94
4640;2;Inverno;Confinamento;Confinamento;Dieta Total;Setor_2A;2024-08-12;14;61.73;4.87;68.87
4641;1;Primavera;Confinamento;Confinamento;Dieta Total;Setor_1A;2024-11-04;4;71.61;5.78;79.64
4642;1;Outono;Pasto C;Pasto;Mombaça;Setor_1B;2024-04-03;121;68.73;5.61;76.94
4643;1;Inverno;Pasto C;Pasto;Braquiária;Setor_1A;2024-07-14;116;62.16;5.26;70.19
4644;2;Verão;Pasto C;Pasto;Mombaça;Setor_2C;2024-02-18;136;77.76;5.95;86.33
4645;2;Verão;Pasto B;Pasto;Panicum;Setor_2C;2024-03-17;101;77.8;5.99;87.57
4646;3;Primavera;Pasto C;Pasto + Suplemento;Panicum;Setor_3A;2024-11-04;140;72.08;5.33;80.26
4647;1;Primavera;Pasto A;Pasto;Panicum;Setor_1C;2024-10-03;55;71.51;5.88;80.76
4648;1;Verão;Confinamento;Confinamento;Dieta Total;Setor_1B;2024-02-18;8;77.54;5.38;85.7
4649;1;Outono;Pasto C;Pasto;Panicum;Setor_1B;2024-04-20;120;68.91;6.01;76.5
4650;3;Verão;Pasto B;Pasto;Braquiária;Setor_3A;2024-03-26;105;68.52;5.19;76.77
4651;3;Primavera;Pasto C;Pasto + Suplemento;Mombaça;Setor_3A;2024-11-28;140;72.47;5.33;81.11
4652;3;Primavera;Confinamento;Confinamento;Dieta Total;Setor_3B;2024-11-01;29;72.3;5.62;80.65
4653;1;Primavera;Pasto B;Pasto;Panicum;Setor_1B;2024-11-14;87;72.42;5.69;80.04
4654;3;Primavera;Pasto C;Pasto;Braquiária;Setor_3A;2024-11-25;143;71.56;5.63;79.67
4655;3;Verão;Pasto A;Pasto + Suplemento;Mombaça;Setor_3A;2024-01-24;71;76.82;5.97;86.64
4656;2;Verão;Pasto B;Pasto;Mombaça;Setor_2A;2024-03-08;95;77.53;5.77;84.78
4657;3;Inverno;Confinamento;Confinamento;Dieta Total;Setor_3C;2024-09-17;33;61.85;5.12;69.41
4658;2;Primavera;Pasto C;Pasto + Suplemento;Braquiária;Setor_2A;2024-10-22;130;71.68;5.71;80.14
4659;1;Outono;Pasto A;Pasto;Braquiária;Setor_1A;2024-05-06;44;68.86;5.39;77.31
4660;3;Inverno;Pasto A;Pasto;Panicum;Setor_3C;2024-07-09;79;61.92;5.28;68.37
4661;1;Inverno;Pasto A;Pasto;Mombaça;Setor_1B;2024-08-09;49;61.66;4.9;68.69
4662;1;Primavera;Confinamento;Confinamento;Dieta Total;Setor_1A;2024-11-05;1;71.46;5.4;80.02
4663;3;Primavera;Pasto C;Pasto;Mombaça;Setor_3C;2024-10-06;151;71.51;5.63;79.11
4664;2;Outono;Confinamento;Confinamento;Dieta Total;Setor_2A;2024-05-09;14;68.92;5.74;77.0
4665;1;Outono;Pasto A;Pasto;Braquiária;Setor_1A;2024-05-10;46;68.72;5.82;79.54
4666;2;Outono;Pasto B;Pasto + Suplemento;Mombaça;Setor_2C;2024-05-26;102;68.65;5.34;76.38
4667;3;Primavera;Pasto C;Pasto;Panicum;Setor_3B;2024-10-12;147;72.01;5.73;80.16
4668;1;Outono;Confinamento;Confinamento;Dieta Total;Setor_1C;2024-05-08;9;68.29;5.61;76.82
4669;1;Outono;Pasto B;Pasto;Mombaça;Setor_1A;2024-06-21;81;61.75;5.77;70.72
4670;3;Outono;Confinamento;Confinamento;Dieta Total;Setor_3B;2024-05-20;29;68.5;5.24;76.53
4671;2;Primavera;Pasto C;Pasto;Braquiária;Setor_2C;2024-12-07;136;72.09;5.65;81.62
4672;1;Verão;Pasto B;Pasto;Braquiária;Setor_1C;2024-02-04;88;78.39;5.95;90.82
4673;3;Verão;Pasto B;Pasto;Panicum;Setor_3B;2024-01-10;109;77.15;5.56;85.49
4674;1;Outono;Pasto B;Pasto;Panicum;Setor_1A;2024-04-13;83;68.4;5.62;75.71
4675;1;Verão;Confinamento;Confinamento;Dieta Total;Setor_1C;2024-02-27;11;77.74;5.38;86.57
4676;1;Verão;Pasto B;Pasto;Mombaça;Setor_1C;2024-03-13;89;78.08;5.81;88.28
4677;1;Verão;Pasto B;Pasto;Mombaça;Setor_1C;2024-02-15;91;78.28;5.38;87.62
4678;1;Outono;Confinamento;Confinamento;Dieta Total;Setor_1A;2024-05-14;4;68.06;6.31;76.04
4679;3;Inverno;Confinamento;Confinamento;Dieta Total;Setor_3C;2024-09-20;34;62.27;5.23;70.3
4680;3;Primavera;Confinamento;Confinamento;Dieta Total;Setor_3B;2024-10-10;30;71.77;5.52;78.68
4681;1;Inverno;Confinamento;Confinamento;Dieta Total;Setor_1B;2024-08-20;5;61.38;5.6;68.68
4682;2;Inverno;Pasto C;Pasto;Braquiária;Setor_2C;2024-09-07;136;61.84;5.57;68.92
4683;2;Verão;Pasto C;Pasto;Panicum;Setor_2C;2024-02-11;136;77.32;6.02;86.92
4684;1;Outono;Pasto A;Pasto;Panicum;Setor_1B;2024-04-13;50;68.64;5.54;76.61
4685;2;Verão;Pasto A;Pasto;Panicum;Setor_2B;2024-02-10;60;77.33;6.24;85.69
4686;1;Inverno;Pasto A;Pasto + Suplemento;Mombaça;Setor_1C;2024-09-23;52;71.74;6.01;82.63
4687;3;Outono;Pasto A;Pasto;Panicum;Setor_3B;2024-06-16;73;68.64;5.76;76.61
4688;3;Outono;Pasto A;Pasto;Braquiária;Setor_3A;2024-06-26;68;61.79;5.35;69.8
4689;2;Verão;Pasto B;Pasto;Braquiária;Setor_2A;2024-01-11;92;78.17;6.16;87.38
4690;3;Outono;Pasto C;Pasto + Suplemento;Mombaça;Setor_3A;2024-05-09;143;69.05;5.69;77.81
4691;2;Outono;Pasto C;Pasto + Suplemento;Mombaça;Setor_2A;2024-05-12;130;67.95;5.86;76.61
4692;1;Outono;Pasto C;Pasto;Panicum;Setor_1B;2024-04-19;121;68.92;5.71;78.97
4693;3;Primavera;Pasto B;Pasto;Mombaça;Setor_3A;2024-10-19;106;71.09;5.49;81.09
4694;3;Verão;Pasto C;Pasto + Suplemento;Braquiária;Setor_3C;2024-03-06;149;77.73;5.82;87.79
4695;1;Inverno;Confinamento;Confinamento;Dieta Total;Setor_1C;2024-09-25;11;72.06;5.17;78.95
4696;1;Outono;Pasto C;Pasto;Panicum;Setor_1A;2024-06-01;117;68.04;5.95;75.72
4697;1;Verão;Pasto B;Pasto;Braquiária;Setor_1C;2024-03-15;89;77.47;5.58;88.27
4698;1;Outono;Pasto C;Pasto;Panicum;Setor_1A;2024-06-07;117;68.56;5.66;76.64
4699;3;Primavera;Confinamento;Confinamento;Dieta Total;Setor_3A;2024-11-26;25;71.61;5.87;80.54
4700;1;Inverno;Pasto C;Pasto;Mombaça;Setor_1A;2024-08-27;119;61.88;5.39;69.8
