ID_Animal;Fazenda;Estacao;Lote_Manejo;Regime_Alim;Tipo_Pastagem;Localidade_Bloco;Data_Coleta_Pesagem;Piquete
4603;3;Outono;Confinamento;Confinamento;Dieta Total;Setor_3B;2024-06-27;32
4604;1;Verão;Pasto A;Pasto + Suplemento;Braquiária;Setor_1C;2024-02-03;53
4605;1;Outono;Pasto C;Pasto;Mombaça;Setor_1A;2024-05-06;116
4606;2;Inverno;Pasto B;Pasto + Suplemento;Panicum;Setor_2B;2024-09-08;97
4607;1;Inverno;Pasto A;Pasto + Suplemento;Mombaça;Setor_1B;2024-09-27;49
4608;2;Outono;Confinamento;Confinamento;Dieta Total;Setor_2C;2024-05-22;21
4609;1;Verão;Confinamento;Confinamento;Dieta Total;Setor_1B;2024-03-11;5
4610;3;Verão;Pasto B;Pasto;Mombaça;Setor_3C;2024-02-25;114
4611;1;Primavera;Confinamento;Confinamento;Dieta Total;Setor_1B;2024-12-05;6
4612;2;Primavera;Pasto A;Pasto;Braquiária;Setor_2C;2024-12-24;66
4613;3;Inverno;Pasto A;Pasto;Mombaça;Setor_3A;2024-07-17;68
4614;1;Inverno;Pasto C;Pasto;Panicum;Setor_1C;2024-09-12;127
4615;3;Outono;Pasto A;Pasto + Suplemento;Braquiária;Setor_3C;2024-04-04;77
4616;2;Outono;Pasto A;Pasto + Suplemento;Braquiária;Setor_2A;2024-05-08;58
4617;1;Outono;Confinamento;Confinamento;Dieta Total;Setor_1C;2024-04-11;12
4618;1;Inverno;Pasto A;Pasto;Mombaça;Setor_1C;2024-09-25;55
4619;3;Primavera;Pasto A;Pasto;Braquiária;Setor_3B;2024-12-20;75
4620;2;Primavera;Pasto A;Pasto;Braquiária;Setor_2C;2024-11-25;65
4621;3;Verão;Pasto C;Pasto;Braquiária;Setor_3B;2024-02-01;145
4622;2;Verão;Pasto C;Pasto;Braquiária;Setor_2A;2024-03-09;128
4623;2;Inverno;Pasto A;Pasto;Braquiária;Setor_2B;2024-08-16;63
4624;2;Verão;Pasto B;Pasto + Suplemento;Braquiária;Setor_2B;2024-01-12;97
4625;3;Primavera;Confinamento;Confinamento;Dieta Total;Setor_3A;2024-12-13;25
4626;3;Verão;Pasto A;Pasto;Panicum;Setor_3B;2024-02-06;75
4627;1;Inverno;Pasto A;Pasto;Mombaça;Setor_1A;2024-09-19;45
4628;2;Verão;Confinamento;Confinamento;Dieta Total;Setor_2C;2024-03-13;24
4629;2;Inverno;Pasto C;Pasto + Suplemento;Panicum;Setor_2C;2024-07-25;136
4630;1;Inverno;Pasto C;Pasto;Braquiária;Setor_1B;2024-09-10;120
4631;1;Verão;Pasto A;Pasto + Suplemento;Braquiária;Setor_1C;2024-01-23;54
4632;3;Inverno;Confinamento;Confinamento;Dieta Total;Setor_3A;2024-07-03;27
4633;1;Outono;Confinamento;Confinamento;Dieta Total;Setor_1C;2024-05-05;12
4634;1;Outono;Pasto C;Pasto + Suplemento;Mombaça;Setor_1A;2024-05-23;116
4635;3;Verão;Pasto A;Pasto;Panicum;Setor_3C;2024-03-05;76
4636;1;Verão;Pasto A;Pasto;Mombaça;Setor_1B;2024-03-13;48
4637;3;Primavera;Pasto B;Pasto;Panicum;Setor_3C;2024-11-12;113
4638;3;Outono;Pasto C;Pasto;Braquiária;Setor_3C;2024-04-03;148
4639;2;Outono;Pasto A;Pasto;Mombaça;Setor_2C;2024-04-10;66
4640;2;Inverno;Confinamento;Confinamento;Dieta Total;Setor_2A;2024-08-12;14
4641;1;Primavera;Confinamento;Confinamento;Dieta Total;Setor_1A;2024-11-04;4
4642;1;Outono;Pasto C;Pasto;Mombaça;Setor_1B;2024-04-03;121
4643;1;Inverno;Pasto C;Pasto;Braquiária;Setor_1A;2024-07-14;116
4644;2;Verão;Pasto C;Pasto;Mombaça;Setor_2C;2024-02-18;136
4645;2;Verão;Pasto B;Pasto;Panicum;Setor_2C;2024-03-17;101
4646;3;Primavera;Pasto C;Pasto + Suplemento;Panicum;Setor_3A;2024-11-04;140
4647;1;Primavera;Pasto A;Pasto;Panicum;Setor_1C;2024-10-03;55
4648;1;Verão;Confinamento;Confinamento;Dieta Total;Setor_1B;2024-02-18;8
4649;1;Outono;Pasto C;Pasto;Panicum;Setor_1B;2024-04-20;120
4650;3;Verão;Pasto B;Pasto;Braquiária;Setor_3A;2024-03-26;105
4651;3;Primavera;Pasto C;Pasto + Suplemento;Mombaça;Setor_3A;2024-11-28;140
4652;3;Primavera;Confinamento;Confinamento;Dieta Total;Setor_3B;2024-11-01;29
4653;1;Primavera;Pasto B;Pasto;Panicum;Setor_1B;2024-11-14;87
4654;3;Primavera;Pasto C;Pasto;Braquiária;Setor_3A;2024-11-25;143
4655;3;Verão;Pasto A;Pasto + Suplemento;Mombaça;Setor_3A;2024-01-24;71
4656;2;Verão;Pasto B;Pasto;Mombaça;Setor_2A;2024-03-08;95
4657;3;Inverno;Confinamento;Confinamento;Dieta Total;Setor_3C;2024-09-17;33
4658;2;Primavera;Pasto C;Pasto + Suplemento;Braquiária;Setor_2A;2024-10-22;130
4659;1;Outono;Pasto A;Pasto;Braquiária;Setor_1A;2024-05-06;44
4660;3;Inverno;Pasto A;Pasto;Panicum;Setor_3C;2024-07-09;79
4661;1;Inverno;Pasto A;Pasto;Mombaça;Setor_1B;2024-08-09;49
4662;1;Primavera;Confinamento;Confinamento;Dieta Total;Setor_1A;2024-11-05;1
4663;3;Primavera;Pasto C;Pasto;Mombaça;Setor_3C;2024-10-06;151
4664;2;Outono;Confinamento;Confinamento;Dieta Total;Setor_2A;2024-05-09;14
4665;1;Outono;Pasto A;Pasto;Braquiária;Setor_1A;2024-05-10;46
4666;2;Outono;Pasto B;Pasto + Suplemento;Mombaça;Setor_2C;2024-05-26;102
4667;3;Primavera;Pasto C;Pasto;Panicum;Setor_3B;2024-10-12;147
4668;1;Outono;Confinamento;Confinamento;Dieta Total;Setor_1C;2024-05-08;9
4669;1;Outono;Pasto B;Pasto;Mombaça;Setor_1A;2024-06-21;81
4670;3;Outono;Confinamento;Confinamento;Dieta Total;Setor_3B;2024-05-20;29
4671;2;Primavera;Pasto C;Pasto;Braquiária;Setor_2C;2024-12-07;136
4672;1;Verão;Pasto B;Pasto;Braquiária;Setor_1C;2024-02-04;88
4673;3;Verão;Pasto B;Pasto;Panicum;Setor_3B;2024-01-10;109
4674;1;Outono;Pasto B;Pasto;Panicum;Setor_1A;2024-04-13;83
4675;1;Verão;Confinamento;Confinamento;Dieta Total;Setor_1C;2024-02-27;11
4676;1;Verão;Pasto B;Pasto;Mombaça;Setor_1C;2024-03-13;89
4677;1;Verão;Pasto B;Pasto;Mombaça;Setor_1C;2024-02-15;91
4678;1;Outono;Confinamento;Confinamento;Dieta Total;Setor_1A;2024-05-14;4
4679;3;Inverno;Confinamento;Confinamento;Dieta Total;Setor_3C;2024-09-20;34
4680;3;Primavera;Confinamento;Confinamento;Dieta Total;Setor_3B;2024-10-10;30
4681;1;Inverno;Confinamento;Confinamento;Dieta Total;Setor_1B;2024-08-20;5
4682;2;Inverno;Pasto C;Pasto;Braquiária;Setor_2C;2024-09-07;136
4683;2;Verão;Pasto C;Pasto;Panicum;Setor_2C;2024-02-11;136
4684;1;Outono;Pasto A;Pasto;Panicum;Setor_1B;2024-04-13;50
4685;2;Verão;Pasto A;Pasto;Panicum;Setor_2B;2024-02-10;60
4686;1;Inverno;Pasto A;Pasto + Suplemento;Mombaça;Setor_1C;2024-09-23;52
4687;3;Outono;Pasto A;Pasto;Panicum;Setor_3B;2024-06-16;73
4688;3;Outono;Pasto A;Pasto;Braquiária;Setor_3A;2024-06-26;68
4689;2;Verão;Pasto B;Pasto;Braquiária;Setor_2A;2024-01-11;92
4690;3;Outono;Pasto C;Pasto + Suplemento;Mombaça;Setor_3A;2024-05-09;143
4691;2;Outono;Pasto C;Pasto + Suplemento;Mombaça;Setor_2A;2024-05-12;130
4692;1;Outono;Pasto C;Pasto;Panicum;Setor_1B;2024-04-19;121
4693;3;Primavera;Pasto B;Pasto;Mombaça;Setor_3A;2024-10-19;106
4694;3;Verão;Pasto C;Pasto + Suplemento;Braquiária;Setor_3C;2024-03-06;149
4695;1;Inverno;Confinamento;Confinamento;Dieta Total;Setor_1C;2024-09-25;11
4696;1;Outono;Pasto C;Pasto;Panicum;Setor_1A;2024-06-01;117
4697;1;Verão;Pasto B;Pasto;Braquiária;Setor_1C;2024-03-15;89
4698;1;Outono;Pasto C;Pasto;Panicum;Setor_1A;2024-06-07;117
4699;3;Primavera;Confinamento;Confinamento;Dieta Total;Setor_3A;2024-11-26;25
4700;1;Inverno;Pasto C;Pasto;Mombaça;Setor_1A;2024-08-27;119
4701;2;Inverno;Confinamento;Confinamento;Dieta Total;Setor_2C;2024-09-03;22
4702;1;Primavera;Pasto A;Pasto + Suplemento;Panicum;Setor_1C;2024-11-22;54
4703;2;Primavera;Pasto B;Pasto + Suplemento;Panicum;Setor_2A;2024-11-05;94
4704;3;Verão;Confinamento;Confinamento;Dieta Total;Setor_3A;2024-03-10;28
4705;3;Verão;Pasto A;Pasto;Braquiária;Setor_3A;2024-01-09;70
4706;2;Outono;Pasto C;Pasto;Braquiária;Setor_2A;2024-06-05;130
4707;2;Inverno;Pasto C;Pasto;Panicum;Setor_2B;2024-09-14;135
4708;3;Primavera;Pasto B;Pasto + Suplemento;Mombaça;Setor_3A;2024-11-03;104
4709;2;Outono;Pasto C;Pasto + Suplemento;Mombaça;Setor_2C;2024-05-20;138
4710;2;Verão;Pasto A;Pasto + Suplemento;Braquiária;Setor_2A;2024-02-19;58
4711;3;Outono;Pasto B;Pasto + Suplemento;Mombaça;Setor_3B;2024-05-18;110
4712;2;Outono;Pasto B;Pasto;Braquiária;Setor_2C;2024-06-28;103
4713;1;Outono;Pasto A;Pasto;Mombaça;Setor_1B;2024-06-14;49
4714;2;Outono;Pasto A;Pasto;Panicum;Setor_2A;2024-06-02;58
4715;2;Outono;Pasto C;Pasto + Suplemento;Braquiária;Setor_2C;2024-05-23;138
4716;1;Outono;Pasto C;Pasto;Braquiária;Setor_1A;2024-06-20;117
4717;2;Outono;Pasto B;Pasto;Panicum;Setor_2C;2024-06-03;102
4718;3;Verão;Pasto C;Pasto;Braquiária;Setor_3C;2024-01-25;151
4719;1;Primavera;Pasto A;Pasto;Mombaça;Setor_1C;2024-10-22;53
4720;3;Verão;Confinamento;Confinamento;Dieta Total;Setor_3B;2024-03-12;32
4721;3;Primavera;Pasto A;Pasto;Mombaça;Setor_3A;2024-10-21;71
4722;3;Outono;Pasto B;Pasto;Braquiária;Setor_3B;2024-06-02;111
4723;2;Outono;Pasto C;Pasto;Mombaça;Setor_2B;2024-06-21;132
4724;1;Inverno;Pasto B;Pasto;Braquiária;Setor_1A;2024-09-21;80
4725;1;Primavera;Pasto B;Pasto;Panicum;Setor_1A;2024-11-25;82
4726;2;Primavera;Confinamento;Confinamento;Dieta Total;Setor_2A;2024-11-26;15
4727;2;Primavera;Pasto A;Pasto;Braquiária;Setor_2C;2024-11-04;64
4728;1;Primavera;Confinamento;Confinamento;Dieta Total;Setor_1B;2024-10-04;5
4729;1;Inverno;Pasto A;Pasto + Suplemento;Panicum;Setor_1B;2024-08-08;51
4730;3;Primavera;Pasto C;Pasto;Mombaça;Setor_3B;2024-12-24;146
4731;3;Primavera;Pasto A;Pasto;Panicum;Setor_3B;2024-12-18;72
4732;3;Verão;Pasto A;Pasto + Suplemento;Mombaça;Setor_3B;2024-03-23;74
4733;1;Inverno;Pasto B;Pasto;Braquiária;Setor_1C;2024-09-08;89
4734;1;Outono;Pasto B;Pasto + Suplemento;Mombaça;Setor_1A;2024-05-12;82
4735;2;Primavera;Pasto A;Pasto;Braquiária;Setor_2C;2024-11-15;64
4736;2;Inverno;Pasto B;Pasto;Braquiária;Setor_2C;2024-09-19;103
4737;3;Primavera;Confinamento;Confinamento;Dieta Total;Setor_3C;2024-12-17;33
4738;1;Verão;Confinamento;Confinamento;Dieta Total;Setor_1A;2024-01-12;1
4739;3;Verão;Pasto C;Pasto;Panicum;Setor_3A;2024-01-16;143
4740;2;Outono;Pasto B;Pasto;Panicum;Setor_2B;2024-04-10;98
4741;2;Verão;Confinamento;Confinamento;Dieta Total;Setor_2C;2024-02-03;21
4742;2;Primavera;Confinamento;Confinamento;Dieta Total;Setor_2B;2024-10-27;20
4743;1;Verão;Pasto B;Pasto;Panicum;Setor_1A;2024-03-05;80
4744;2;Primavera;Pasto B;Pasto;Panicum;Setor_2A;2024-11-10;94
4745;1;Outono;Confinamento;Confinamento;Dieta Total;Setor_1A;2024-05-15;1
4746;2;Inverno;Pasto A;Pasto + Suplemento;Mombaça;Setor_2A;2024-07-17;59
4747;3;Outono;Pasto B;Pasto;Mombaça;Setor_3C;2024-05-12;112
4748;3;Verão;Confinamento;Confinamento;Dieta Total;Setor_3B;2024-02-04;32
4749;3;Outono;Confinamento;Confinamento;Dieta Total;Setor_3A;2024-05-24;28
4750;2;Verão;Pasto A;Pasto + Suplemento;Mombaça;Setor_2B;2024-03-15;61
4751;3;Outono;Pasto C;Pasto;Braquiária;Setor_3A;2024-05-03;142
4752;1;Primavera;Pasto C;Pasto + Suplemento;Mombaça;Setor_1B;2024-11-02;121
4753;2;Verão;Pasto B;Pasto;Mombaça;Setor_2B;2024-03-04;96
4754;1;Verão;Confinamento;Confinamento;Dieta Total;Setor_1A;2024-01-28;4
4755;1;Outono;Pasto C;Pasto;Mombaça;Setor_1A;2024-05-21;116
4756;1;Inverno;Pasto C;Pasto;Panicum;Setor_1B;2024-07-22;121
4757;2;Verão;Pasto A;Pasto;Mombaça;Setor_2C;2024-01-24;65
4758;2;Primavera;Confinamento;Confinamento;Dieta Total;Setor_2A;2024-10-17;15
4759;3;Primavera;Pasto B;Pasto + Suplemento;Braquiária;Setor_3A;2024-10-18;107
4760;1;Inverno;Confinamento;Confinamento;Dieta Total;Setor_1C;2024-07-11;10
4761;3;Outono;Pasto B;Pasto;Panicum;Setor_3C;2024-06-14;112
4762;1;Primavera;Pasto C;Pasto;Braquiária;Setor_1A;2024-11-08;119
4763;3;Outono;Pasto C;Pasto;Mombaça;Setor_3A;2024-05-21;141
4764;3;Verão;Pasto C;Pasto;Panicum;Setor_3A;2024-01-06;140
4765;2;Primavera;Pasto A;Pasto + Suplemento;Braquiária;Setor_2A;2024-12-22;57
4766;3;Primavera;Pasto C;Pasto + Suplemento;Mombaça;Setor_3B;2024-11-13;144
4767;3;Verão;Confinamento;Confinamento;Dieta Total;Setor_3B;2024-01-24;30
4768;1;Outono;Pasto B;Pasto + Suplemento;Braquiária;Setor_1B;2024-06-07;86
