ID_Animal;Local / Fazenda;Tabela de Origem;Variável Ausente (NaN);Ação do Sistema
4499;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4500;3.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4501;2.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4502;2.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4504;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4505;3.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4506;3.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4507;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4508;3.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4509;2.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4510;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4511;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4512;3.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4513;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4515;3.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4516;3.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4517;2.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4518;2.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4519;3.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4520;3.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4521;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4522;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4523;3.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4524;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4526;2.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4527;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4528;3.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4529;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4530;3.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4531;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4532;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4533;2.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4534;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4535;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4537;2.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4539;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4540;3.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4541;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4542;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4543;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4544;3.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4545;3.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4546;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4547;2.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4548;2.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4549;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4550;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4551;2.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4553;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4555;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4556;3.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4557;3.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4559;2.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4560;3.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4561;2.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4562;2.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4563;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4566;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4567;3.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4568;3.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4569;3.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4570;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4571;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4573;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4574;2.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4575;3.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4576;2.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4577;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4578;2.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4579;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4580;2.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4581;3.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4582;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4583;2.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4584;2.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4585;3.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4588;2.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4589;2.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4590;3.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4591;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4592;2.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4593;2.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4595;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4596;3.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4598;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4599;2.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4600;3.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4602;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4604;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4605;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4606;2.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4607;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4609;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4610;3.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4611;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4612;2.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4613;3.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4614;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4615;3.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4617;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4618;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4619;3.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4621;3.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4622;2.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4623;2.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4624;2.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4627;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4628;2.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4629;2.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4630;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4631;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4632;3.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4633;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4634;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4636;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4637;3.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4638;3.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4640;2.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4641;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4642;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4643;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4644;2.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4645;2.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4646;3.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4647;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4648;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4649;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4650;3.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4651;3.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4652;3.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4653;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4654;3.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4655;3.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4656;2.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4657;3.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4659;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4660;3.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4661;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4663;3.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4666;2.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4667;3.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4669;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4670;3.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4671;2.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4673;3.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4674;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4675;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4676;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4680;3.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4681;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4682;2.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4683;2.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4684;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4685;2.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4686;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4687;3.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4688;3.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4689;2.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4690;3.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4692;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4693;3.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4694;3.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4695;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4696;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4697;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4698;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4699;3.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4700;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4701;2.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4703;2.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4704;3.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4705;3.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4706;2.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4708;3.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4709;2.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4710;2.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4711;3.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4712;2.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4713;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4714;2.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4717;2.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4718;3.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4719;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4720;3.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4721;3.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4722;3.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4723;2.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4724;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4725;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4727;2.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4728;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4729;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4730;3.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4731;3.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4732;3.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4733;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4734;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4735;2.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4736;2.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4737;3.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4738;1.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4739;3.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4740;2.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
4741;2.0;Fenótipos (Geral);IPP_dias;Substituído por -999 (Sinalizador de ausência para BLUPF90)
